"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1964-65","L. Rodríguez",26,5,,20,3,7,1,1,0,7,0,,,,0.35,,0.5,0,,10,2,,,,"SI","campeon"
"2011-12","L. Jiménez",29,6,24,21,2,7,1,0,1,3,0,0,3,3,333,417,524,0.94,4.6,11,2,0,0,0,"SI","subcampeon"
"1969-70","L. Jaster",25,1,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1970-71","L. Gura",23,3,,3,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1971-72","L. Cardenas",33,7,,25,2,7,0,0,2,3,0,,,,0.28,,0.52,0,,13,2,,,,"NO","subcampeon"
"1970-71","L. Cardenas",32,7,,24,5,4,3,0,0,2,0,,,,167,,292,0,,7,3,,,,"NO","campeon"
"1965-66","L. Aparicio",31,6,,25,3,5,0,0,1,2,0,,,,0.2,,0.32,0,,8,1,,,,"NO","campeon"
"1964-65","L. Aparicio",30,5,,23,4,8,1,0,0,1,1,,,,348,,391,0,,9,1,,,,"NO","campeon"
"1964-65","K. Sanders",23,4,,4,0,1,0,0,0,1,0,,,,0.25,,0.25,0,,1,0,,,,"SI","campeon"
"1964-65","K. Hamlim",29,5,,22,4,9,1,1,1,6,0,,,,409,,682,0,,15,3,,,,"NO","campeon"
"1968-69","J. Yanes",19,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1968-69","J. Tovar",24,3,,3,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"SI","campeon"
"1971-72","J. Rooker",29,3,,8,0,1,0,0,0,0,0,,,,125,,125,0,,1,0,,,,"NO","subcampeon"
"1969-70","J. Romero",27,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1968-69","J. Romero",26,1,,2,0,1,0,0,0,0,0,,,,0.5,,0.5,0,,1,0,,,,"NO","campeon"
"1986-87","J. Reed",24,4,,12,1,2,1,0,0,0,0,,,,167,,0.25,0,,3,1,,,,"NO","subcampeon"
"1968-69","J. Nyman",26,3,,7,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1986-87","J. Monasterios",32,3,,6,1,2,0,0,0,1,1,,,,333,,333,0,,2,0,,,,"NO","subcampeon"
"1982-83","J. Monasterios",28,6,,23,6,5,1,0,2,4,0,,,,217,,522,0,,12,3,,,,"NO","campeon"
"1976-77","J. Monasterios",22,4,,8,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"2011-12","J. Martínez",23,6,23,22,1,4,0,0,0,0,0,1,1,6,182,217,182,399,0.9,4,0,0,0,0,"NO","subcampeon"
"1965-66","J. Martínez",23,6,,20,2,5,0,0,0,1,1,,,,0.25,,0.25,0,,5,0,,,,"NO","campeon"
"1982-83","J. Keller",27,4,,8,2,1,1,0,0,2,0,,,,125,,0.25,0,,2,1,,,,"NO","campeon"
"1971-72","J. Herrera",29,7,,26,3,7,3,0,0,4,0,,,,269,,385,0,,10,3,,,,"NO","subcampeon"
"1970-71","J. Herrera",28,7,,24,5,5,1,0,0,3,0,,,,208,,0.25,0,,6,1,,,,"NO","campeon"
"1969-70","J. Herrera",27,3,,9,0,2,0,0,0,0,0,,,,222,,222,0,,2,0,,,,"NO","subcampeon"
"1968-69","J. Herrera",26,9,,35,6,9,1,0,0,8,0,,,,257,,286,0,,10,1,,,,"NO","campeon"
"1966-67","J. Herrera",24,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1965-66","J. Herrera",23,6,,24,1,3,1,0,0,0,0,,,,125,,167,0,,4,1,,,,"NO","campeon"
"1964-65","J. Herrera",22,3,,5,0,2,0,0,0,0,0,,,,0.4,,0.4,0,,2,0,,,,"NO","campeon"
