"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda"
39,"davdav001","2021-22","26/10/2021",3,"Tiburones de la Guaira",6,"David Davalillo",0.1,1,0,0,0,0,0,2,0,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
46,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",1,"Erick Leal",4.1,4,2,1,1,0,5,19,1.04,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
47,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",2,"Yohander Méndez ",1.1,0,0,0,0,3,1,7,0,1,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
48,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",3,"Jose Martinez ",0.1,1,0,0,0,0,0,2,20.25,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
49,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",4,"Anthony Vizcaya ",1,2,0,0,0,0,2,5,13.5,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
50,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",5,"Wilking Rodriguez ",1,1,0,0,0,0,1,4,0,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
51,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",6,"Jorge Rondon ",1,1,1,1,0,0,2,4,13.5,0,0,1,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
40,"diavic001","2021-22","28/10/2021",4,"Tiburones de la Guaira",1,"Victor Diaz ",3.1,7,3,3,0,1,2,16,4.7,0,1,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
41,"mayhec001","2021-22","28/10/2021",4,"Tiburones de la Guaira",2,"Hector Mayora",0.2,1,0,0,0,0,0,2,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
42,"acoald001","2021-22","28/10/2021",4,"Tiburones de la Guaira",3,"Aldry Acosta",1.1,2,1,1,0,0,3,6,6.75,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
43,"guzlui001","2021-22","28/10/2021",4,"Tiburones de la Guaira",4,"Luis Guzman",1,1,0,0,0,0,1,3,3.86,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
44,"ramedu001","2021-22","28/10/2021",4,"Tiburones de la Guaira",5,"Edubray Ramos",0.2,0,0,0,0,0,1,2,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
45,"infgre001","2021-22","28/10/2021",4,"Tiburones de la Guaira",6,"Gregory Infante",1,0,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
52,,"2021-22","29/10/2021",5,"Bravos de Margarita",1,"Henry Centeno",4,7,3,2,1,1,0,18,4.15,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
53,,"2021-22","29/10/2021",5,"Bravos de Margarita",2,"David Ramos",2,2,1,1,1,0,0,8,1.8,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
54,,"2021-22","29/10/2021",5,"Bravos de Margarita",3,"Jesus Martinez ",1,0,0,0,0,1,1,4,0,1,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
55,,"2021-22","29/10/2021",5,"Bravos de Margarita",4,"Alfred Gutierrez",1,0,0,0,0,1,1,4,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
56,,"2021-22","29/10/2021",5,"Bravos de Margarita",5,"Werner Leal",1,3,1,1,1,0,1,6,9,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
57,"cavjor001","2021-22","29/10/2021",5,"Tiburones de la Guaira",1,"Jorgan Cavanerio",5,4,1,1,0,0,2,18,3.12,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
58,"covraf001","2021-22","29/10/2021",5,"Tiburones de la Guaira",2,"Rafael Cova ",1,1,0,0,0,0,1,3,20.25,0,0,0,0,1,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
59,"jimedu001","2021-22","29/10/2021",5,"Tiburones de la Guaira",3,"Eduardo Jiménez ",0.2,1,2,2,0,1,1,4,27,0,0,0,0,1,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
60,"guzlui001","2021-22","29/10/2021",5,"Tiburones de la Guaira",4,"Luis Guzman ",0.1,1,0,0,0,0,1,2,3.38,0,0,0,0,1,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
61,"infgre001","2021-22","29/10/2021",5,"Tiburones de la Guaira",5,"Gregory Infante ",0,3,5,3,0,0,0,5,6.75,0,1,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
62,"ramedu001","2021-22","29/10/2021",5,"Tiburones de la Guaira",6,"Edubray Ramos",0.2,3,3,3,0,0,0,5,20.25,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
63,"mayhec001","2021-22","29/10/2021",5,"Tiburones de la Guaira",8,"Hector Mayora",0.1,1,1,0,0,2,0,5,0,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
64,"cabjea001","2021-22","29/10/2021",5,"Tiburones de la Guaira",9,"Jean Cabrera",1,1,0,0,0,1,1,5,0,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
65,,"2021-22","30/10/2021",6,"Bravos de Margarita",1,"Omar Bencomo ",3.2,6,1,1,0,2,2,17,3.18,0,1,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
66,,"2021-22","30/10/2021",6,"Bravos de Margarita",2,"Angel Leon",1,1,0,0,0,0,2,4,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
67,,"2021-22","30/10/2021",6,"Bravos de Margarita",3,"Kender Villegas",1.2,1,0,0,0,0,0,6,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
68,,"2021-22","30/10/2021",6,"Bravos de Margarita",4,"Jesus Martinez",1,0,0,0,0,1,0,3,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
69,,"2021-22","30/10/2021",6,"Bravos de Margarita",5,"Anthony Molina",0.2,1,0,0,0,1,1,4,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
70,"florya001","2021-22","30/10/2021",6,"Tiburones de la Guaira",1,"Ryan Flores ",6,3,0,0,0,1,8,23,2.79,1,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
71,"paleug001","2021-22","30/10/2021",6,"Tiburones de la Guaira",2,"Eugenio Palma ",1.1,0,0,0,0,0,1,4,0,0,0,0,0,1,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
72,"acoald001","2021-22","30/10/2021",6,"Tiburones de la Guaira",3,"Aldry Acosta ",0.2,1,0,0,0,0,0,4,4.5,0,0,0,0,1,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
73,"covraf001","2021-22","30/10/2021",6,"Tiburones de la Guaira",4,"Rafael Cova ",1,1,0,0,0,1,1,5,11.57,0,0,1,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
74,,"2021-22","31/10/2021",7,"Aguilas del Zulia",1,"Cesar Jimenez ",5.1,6,4,4,0,1,3,24,3.48,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
75,,"2021-22","31/10/2021",7,"Aguilas del Zulia",2,"Angello Infante ",0.1,3,2,2,1,0,0,4,27,0,0,0,1,0,"Estadio Universitario","Tiburones de la Guaira","regular"
76,,"2021-22","31/10/2021",7,"Aguilas del Zulia",3,"Gerardo Vilchez",0.1,3,3,3,2,0,0,4,20.25,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
