years,jugador,name,first_name,last_name,pos,bat,lan,exp,pais,estado,ciudad
1993-94,J. Brown,Jarvis Ardel Brown,Jarvis,Brown,CF,D,D,1,USA,Illinois,Waukegan
2010-11,J. Dubois,Jason Bradford Dubois,Jason,Dubois,CF,D,D,1,USA,Virginia,Virginia Beach
2011-12,J. Urquidez,Jason Carl Urquidez,Jason,Urquidez,P,D,D,1,USA,California,Tarzana
2008-09,J. Lane,Jason Dean Lane,Jason,Lane,CF,D,Z,4,USA,California,Santa Rosa
2004-05,J. Ryan,Jason Paul Ryan,Jason,Ryan,P,A,D,1,USA,Nueva Jersey,Long Branch
2010-11,J. Simontacchi,Jason William Simontacchi,Jason,Simontacchi,P,D,D,4,USA,California,Mountain View
2011-12,J. Gibbons,Jay Gibbons,Jay,Gibbons,CF,Z,Z,5,USA,Michigan,Rochester
2010-11,J. Gibbons,Jay Gibbons,Jay,Gibbons,CF,Z,Z,4,USA,Michigan,Rochester
2009-10,J. Gibbons,Jay Gibbons,Jay,Gibbons,CF,Z,Z,3,USA,Michigan,Rochester
1989-90,J. Baller,Jay Scot Baller,Jay,Baller,P,D,D,4,USA,Oregon,Stayton
2001-02,J. Tessmer,Jay Tessmer,Jay,Tessmer,P,D,D,1,USA,Pensilnavia,Meadville
1994-95,J. Carter,Jeff Carter,Jeff,Carter,IF,A,D,2,USA,Illinois,Chicago
1983-84,J. Dedmon,Jeffrey Linden Dedmon,Jeffrey,Dedmon,P,Z,D,1,USA,California,Torrance
2011-12,J. Baisley,Jeffrey Scot Baisley,Jeffrey,Baisley,3B,D,D,2,USA,Florida,Tampa
2008-09,J. Baisley,Jeffrey Scot Baisley,Jeffrey,Baisley,3B,D,D,1,USA,Florida,Tampa
1987-88,J. Reed,Jeffrey Scott Reed,Jeffrey,Reed,C,Z,D,2,USA,Illinois,Joliet
1986-87,J. Reed,Jeffrey Scott Reed,Jeffrey,Reed,C,Z,D,1,USA,Illinois,Joliet
1995-96,J. Brooks,Jerome Edward Brooks,Jerome,Brooks,CF,D,D,2,USA,Nueva York,Syracuse
1978-79,J. Maddox,Jerry Glenn Maddox,Jerry,Maddox,IF,D,D,1,USA,California,Whittier
1982-83,J. Keller,Jerry Keller,Jerry,Keller,1B,D,D,2,USA,Michigan,Royal Oak
2005-06,J. Owens,Jerry Lee Owens,Jerry,Owens,CF,Z,Z,1,USA,California,Hollywood
1977-78,J. Manuel,Jerry Manuel,Jerry,Manuel,IF,A,D,1,USA,Georgia,Hahira
1978-79,J. Terrell,Jerry Wayne Terrell,Jerry,Terrell,SS,D,D,3,USA,Minnesota,Waseca
1982-83,J. Orosco,Jesse Russell Orosco,Jesse,Orosco,P,D,Z,3,USA,California,Santa Barbara
1981-82,J. Orosco,Jesse Russell Orosco,Jesse,Orosco,P,D,Z,2,USA,California,Santa Barbara
1980-81,J. Orosco,Jesse Russell Orosco,Jesse,Orosco,P,D,Z,1,USA,California,Santa Barbara
1986-87,C. McMurtry,Joe Craig McMurtry,Joe,McMurtry,P,D,D,1,USA,Texas,Troy
1979-80,B. Martínez,John Albert Martínez,John,Martínez,C,D,D,2,USA,California,Redding
1966-67,J. Bateman,John Alvin Bateman,John,Bateman,C,D,D,2,USA,Oklahoma,Fort Sill
1965-66,J. Bateman,John Alvin Bateman,John,Bateman,C,D,D,1,USA,Oklahoma,Fort Sill
1988-89,J. Barfield,John David Barfield,John,Barfield,P,Z,Z,1,USA,Arkansas,Pine Bluff
1977-78,J. Wathan,John David Wathan,John,Wathan,C,D,D,1,USA,Iowa,Cedar Rapids
1971-72,J. Montague,John Evans Montague,John,Montague,P,D,D,1,USA,Virginia,Newport News
1973-74,J. Jeter,John Jeter,John,Jeter,CF,D,D,2,USA,Luisiana,Shreveport
1966-67,J. Tsitouris,John Philip Tsitouris,John,Tsitouris,P,D,D,1,USA,Carolina del Norte,Monroe
2003-04,J. DeSilva,John Reed DeSilva,John,DeSilva,P,D,D,7,USA,California,Fort Bragg
2010-11,J. Ennis,John Wayne Ennis,John,Ennis,P,D,D,3,USA,Colorado,Montrose
1988-89,J. Leister,John William Leister,John,Leister,P,D,D,1,USA,Texas,San Antonio
1974-75,D. Baker,Johnnie B. Baker Jr.,Johnnie,Baker,CF,D,D,1,USA,California,Riverside
2014-15,J. Giavotella,Johnny A. Giavotella,Johnny,Giavotella,LF,D,D,1,USA,Luisiana,Metairie
1995-96,J. Ruffin,Johnny Renando Ruffin,Johnny,Ruffin,P,D,D,2,USA,Alabama,Butler
1963-64,J. Weekly,Johnny Weekly,Johnny,Weekly,CF,D,D,1,USA,Luisiana,Waterproof
2014-15,J. Link,Jon Paul Link,Jon,Link,P,D,D,5,USA,Ohio,Columbus
2013-14,J. Link,Jon Paul Link,Jon,Link,P,D,D,4,USA,Ohio,Columbus
2012-13,J. Link,Jon Paul Link,Jon,Link,P,D,D,3,USA,Ohio,Columbus
2011-12,J. Link,Jon Paul Link,Jon,Link,P,D,D,2,USA,Ohio,Columbus
2009-10,J. Link,Jon Paul Link,Jon,Link,P,D,D,1,USA,Ohio,Columbus
1998-99,J. Ratliff,Jon Ratliff,Jon,Ratliff,P,D,D,1,USA,Nueva York,Syracuse
1997-98,J. Safer,Jon Safer,Jon,Safer,CF,,,2,USA,Arizona,Tucson
1996-97,J. Safer,Jon Safer,Jon,Safer,CF,,,1,USA,Arizona,Tucson
2010-11,J. Huber,Jonathon Lloyd Huber,Jonathon,Huber,P,D,D,1,USA,California,Sacramento
2017-18,J. Anderson,Jonathon Michael Anderson,Jonathon,Anderson,P,Z,Z,2,USA,California,Pleasanton
2010-11,J. Parraz,Jordan E. Parraz,Jordan,Parraz,RF,D,D,1,USA,Nevada,Henderson
1982-83,J. Álvarez,José Álvarez,José,Álvarez,P,D,D,1,USA,Florida,Tampa
2004-05,J. López,José López,José,López,P,D,D,1,USA,Texas,Corpus Christi
2009-10,J. Durbin,Joseph Adam Durbin,Joseph,Durbin,P,D,D,2,USA,Oregon,Portland
1970-71,C. Cox,Joseph Casey Cox,Joseph,Cox,P,D,D,1,USA,California,Long Beach
1963-64,J. Wooten,Joseph Wooten,Joseph,Wooten,C,D,D,1,USA,,
2006-07,J. Fields,Joshua Dean Fields,Joshua,Fields,3B,D,D,1,USA,Oklahoma,Ada
2014-15,J. Sulbaran,Juan Carlos Antonio Sulbaran,Juan,Sulbaran,P,D,D,1,USA,Florida,Davie
1981-82,J. Eichelberger,Juan Tyrone Eichelberger,Juan,Eichelberger,P,D,D,2,USA,Misuri,St. Louis
1980-81,J. Eichelberger,Juan Tyrone Eichelberger,Juan,Eichelberger,P,D,D,1,USA,Misuri,St. Louis
2013-14,J. Friend,Justin Friend,Justin,Friend,P,D,D,3,USA,California,Tracy
2012-13,J. Friend,Justin Friend,Justin,Friend,P,D,D,2,USA,California,Tracy
2011-12,J. Friend,Justin Friend,Justin,Friend,P,D,D,1,USA,California,Tracy
2003-04,J. Reid,Justin Reid,Justin,Reid,P,D,D,2,USA,California,Folson
1993-94,K. Rhodes,Karl Derrick Rhodes,Karl,Rhodes,CF,Z,Z,3,USA,Ohio,Cincinnati
1987-88,K. Best,Karl Jon Best,Karl,Best,P,D,D,1,USA,Washington,Aberdeen
2004-05,K. Reed,Keith A. Reed,Keith,Reed,CF,D,D,1,USA,Massachusetts,Yarmouth Port
1993-94,K. Lockhart,Keith Virgil Lockhart,Keith,Lockhart,2B,Z,D,2,USA,California,Whittier
1999-00,K. Wunsch,Kelly Wunsch,Kelly,Wunsch,P,Z,Z,1,USA,Texas,Houston
1981-82,K. Moore,Kelvin Orlando Moore,Kelvin,Moore,1B,D,Z,1,USA,Alabama,Leroy
1964-65,K. Hamlim,Kenneth Hamlim,Kenneth,Hamlim,3B,D,D,1,USA,Michigan,Detroit
1974-75,K. Kravec,Kenneth Peter Kravec,Kenneth,Kravec,P,Z,Z,1,USA,Ohio,Cleveland
1973-74,K. Forsch,Kenneth Roth Forsch,Kenneth,Forsch,P,D,D,3,USA,California,Sacramento
1972-73,K. Forsch,Kenneth Roth Forsch,Kenneth,Forsch,P,D,D,2,USA,California,Sacramento
1988-89,K. Rogers,Kenneth Scott Rogers,Kenneth,Rogers,P,Z,Z,1,USA,Georgia,Savannah
1996-97,K. Valrie,Kerry Lavell Valrie,Kerry,Valrie,CF,D,D,1,USA,Alabama,Mobile
1998-99,K. Batker,Kevin Batker,Kevin,Batker,1B,Z,Z,1,USA,Virginia,Bristol
2009-10,K. Howard,Kevin C. Howard,Kevin,Howard,3B,Z,D,1,USA,Florida,Hinsdale
1992-93,K. Blankenship,Kevin De Wayne Blankenship,Kevin,Blankenship,P,D,D,2,USA,California,Anaheim
1979-80,K. Kennedy,Kevin Kennedy,Kevin,Kennedy,C,Z,D,1,USA,Ohio,Euclid
2007-08,K. Barry,Kevin Thomas Barry,Kevin,Barry,P,D,D,2,USA,Nueva Jersey,Princeton Junction
2007-08,K. West,Kevin West,Kevin,West,CF,D,D,2,USA,California,San Jose
2014-15,K. Regas,Kristopher L Regas,Kristopher,Regas,P,Z,Z,1,USA,Illinois,Kankakee
2015-16,K. Newby,Kyler Read Newby,Kyler,Newby,P,D,D,2,USA,Nevada,Las Vegas
2001-02,L. Schuermann,Lance Schuermann,Lance,Schuermann,P,,,1,USA,,
2005-06,L. Broadway,Larry Broadway,Larry,Broadway,1B,Z,Z,2,USA,Florida,Miami
2004-05,L. Broadway,Larry Broadway,Larry,Broadway,1B,Z,Z,1,USA,Florida,Miami
1969-70,L. Jaster,Larry Edward Jaster,Larry,Jaster,P,Z,Z,1,USA,Michigan,Midland
1980-81,L. Andersen,Larry Eugene Andersen,Larry,Andersen,P,D,D,1,USA,Oregon,Portland
1980-81,L. Saferight,Larry Saferight,Larry,Saferight,C,D,D,1,USA,,
1981-82,L. Whisenton,Larry Whisenton,Larry,Whisenton,CF,Z,Z,1,USA,Misuri,St. Louis
2000-01,B. Jacobsen,Larry William Jacobsen,Larry,Jacobsen,BD,D,D,1,USA,Wyoming,Riverton
1963-64,L. Williams,Larry Williams,Larry,Williams,P,,,1,USA,,
2000-01,L. Wimberly,Larry Wimberly,Larry,Wimberly,P,D,D,1,USA,Florida,Zellwood
1964-65,L. Yellen,Lawrence Alan Yellen,Lawrence,Yellen,P,D,D,1,USA,Nueva York,Brooklyn
1976-77,L. Gura,Lawrence Cyril Gura,Lawrence,Gura,P,A,Z,2,USA,Illinois,Joliet
1970-71,L. Gura,Lawrence Cyril Gura,Lawrence,Gura,P,A,Z,1,USA,Illinois,Joliet
1999-00,D. Powell,Le Jon Dante Powell,Dante,Powell,CF,D,D,1,USA,California,Long Beach
1973-74,L. Pitlock,Lee Pitlock,Lee,Pitlock,P,Z,Z,1,USA,Illinois,Hillside
1974-75,L. Stanton,Leroy Bobby Stanton,Leroy,Stanton,CF,D,D,4,USA,Carolina del Sur,Latta
1973-74,L. Stanton,Leroy Bobby Stanton,Leroy,Stanton,CF,D,D,3,USA,Carolina del Sur,Latta
1970-71,L. Stanton,Leroy Bobby Stanton,Leroy,Stanton,CF,D,D,1,USA,Carolina del Sur,Latta
2012-13,L. Walrond,Leslie Dale Walrond,Leslie,Walrond,P,Z,Z,3,USA,Oklahoma,Muskogee
2011-12,L. Walrond,Leslie Dale Walrond,Leslie,Walrond,P,Z,Z,2,USA,Oklahoma,Muskogee
1999-00,L. Pote,Lou Pote,Lou,Pote,P,D,D,2,USA,Illinois,Evergreen Park
1998-99,L. Pote,Lou Pote,Lou,Pote,P,D,D,1,USA,Illinois,Evergreen Park
1963-64,L. Johnson,Louis Brown Johnson,Louis,Johnson,CF,D,D,2,USA,Kentucky,Lexington
2003-04,L. Collier,Louis Keith Collier,Louis,Collier,CF,D,D,4,USA,Illinois,Chicago
2002-03,L. Collier,Louis Keith Collier,Louis,Collier,CF,D,D,3,USA,Illinois,Chicago
2001-02,L. Collier,Louis Keith Collier,Louis,Collier,CF,D,D,2,USA,Illinois,Chicago
2000-01,L. Collier,Louis Keith Collier,Louis,Collier,CF,D,D,1,USA,Illinois,Chicago
1971-72,L. Piniella,Louis Víctor Piniella,Louis,Piniella,CF,D,D,1,USA,Florida,Tampa
2017-18,M. Delcarmen,Manuel Delcarmen,Manuel,Delcarmen,P,D,D,1,USA,Massachusetts,Boston
2008-09,M. McBeth,Marcus Andre McBeth,Marcus,McBeth,P,D,D,1,USA,Carolina del Sur,Spartanburg
1999-00,M. Jensen,Marcus Christian Jensen,Marcus,Jensen,C,A,D,1,USA,California,Oakland
2013-14,M. Hollands,Mario Eduardo Lemus Hollands,Mario,Hollands,P,Z,Z,1,USA,California,Oakland
1991-92,M. Davis,Mark Anthony Davis,Mark,Davis,CF,D,D,2,USA,California,San Diego
1990-91,M. Davis,Mark Anthony Davis,Mark,Davis,CF,D,D,1,USA,California,San Diego
1991-92,M. Grater,Mark Anthony Grater,Mark,Grater,P,D,D,2,USA,Pensilnavia,Rochester
1999-00,M. Whiten,Mark Anthony Whiten,Mark,Whiten,CF,A,D,5,USA,Florida,Pensacola
1977-78,M. Daly,Mark Daly,Mark,Daly,P,Z,Z,1,USA,,
2015-16,M. Hamburger,Mark John Hamburger,Mark,Hamburger,P,D,D,2,USA,Minnesota,St. Paul
1993-94,M. Zappelli,Mark John Zappelli,Mark,Zappelli,P,D,D,1,USA,California,Santa Rosa
1989-90,M. Petkovsek,Mark Joseph Petkovsek,Mark,Petkovsek,P,D,D,1,USA,Texas,Beaumont
1990-91,M. Huisman,Mark Lawrence Huismann,Mark,Huismann,P,D,D,1,USA,Colorado,Littleton
2016-17,M. Minicozzi,Mark Minicozzi,Mark,Minicozzi,3B,D,D,4,USA,Pensilnavia,Wayne
1979-80,M. Niggins,Mark Niggins,Mark,Niggins,P,,,1,USA,,
1979-80,M. Bomback,Mark Vincent Bomback,Mark,Bomback,P,D,D,2,USA,Virginia,Portsmouth
1978-79,M. Bomback,Mark Vincent Bomback,Mark,Bomback,P,D,D,1,USA,Virginia,Portsmouth
2014-15,M. Rusch,Matthew Andrew Rusch,Matthew,Rusch,P,D,D,2,USA,Nueva York,Rotterdam
1998-99,M. Whiteside,Matthew Christopher Whiteside,Matthew,Whiteside,P,D,D,1,USA,Misuri,Charleston
2008-09,M. Daley,Matthew Thomas Daley,Matthew,Daley,P,D,D,1,USA,Nueva York,Queens
2010-11,M. Zaleski,Matthew Zaleski,Matthew,Zaleski,P,D,D,1,USA,Texas,Arlington
1965-66,B. Perry,Melvin Gray Perry,Melvin,Perry,CF,D,D,2,USA,Carolina del Norte,New Bern
1995-96,M. Sanford,Meredith Leroy Sanford,Meredith,Sanford,P,D,D,1,USA,Georgia,Americus
1962-63,M. Ranew,Merritt Thomas Ranew,Merritt,Ranew,C,Z,D,1,USA,Georgia,Albany
1968-69,M. Rettenmund,Mervin Weldon Rettenmund,Mervin,Rettenmund,CF,D,D,2,USA,Michigan,Flint
1967-68,M. Rettenmund,Mervin Weldon Rettenmund,Mervin,Rettenmund,CF,D,D,1,USA,Michigan,Flint
1986-87,M. Henneman,Michael Alan Henneman,Michael,Henneman,P,D,D,1,USA,Misuri,St. Charles
1985-86,M. Trujillo,Michael Andrew Trujillo,Michael,Trujillo,P,D,D,1,USA,Colorado,Denver
1983-84,M. Witt,Michael Atwater Witt,Michael,Witt,P,D,D,2,USA,California,Fullerton
1981-82,M. Witt,Michael Atwater Witt,Michael,Witt,P,D,D,1,USA,California,Fullerton
2007-08,M. Cervenak,Michael Christopher Cervenak,Michael,Cervenak,1B,D,D,5,USA,Michigan,Trenton
2008-09,C. Doyne,Michael Cory Doyne,Michael,Doyne,P,D,D,1,USA,Florida,Tampa
1997-98,M. Bovee,Michael Craig Bovee,Michael,Bovee,P,D,D,1,USA,California,San Diego
1969-70,M. Hedlund,Michael David Hedlund,Michael,Hedlund,P,D,D,1,USA,Texas,Dallas
1981-82,M. Armstrong,Michael Dennis Armstrong,Michael,Armstrong,P,D,D,2,USA,Nueva York,Glen Cove
1980-81,M. Armstrong,Michael Dennis Armstrong,Michael,Armstrong,P,D,D,1,USA,Nueva York,Glen Cove
1976-77,M. Kekich,Michael Dennis Kekich,Michael,Kekich,P,D,Z,2,USA,California,San Diego
1991-92,M. Erb,Michael Erb,Michael,Erb,P,D,D,1,USA,California,San Diego
2012-13,M. Cisco,Michael Galen Cisco,Michael,Cisco,P,D,D,1,USA,Carolina del Sur,Mt. Pleasant
1978-79,M. Davey,Michael Gerard Davey,Michael,Davey,P,D,Z,1,USA,Washington,Spokane
2000-01,M. Busby,Michael James Busby,Michael,Busby,P,D,D,1,USA,California,Lomita
2016-17,M. Antonini,Michael John Antonini,Michael,Antonini,P,D,Z,2,USA,Pensilnavia,Drexel Hill
2014-15,M. Antonini,Michael John Antonini,Michael,Antonini,P,D,Z,1,USA,Pensilnavia,Drexel Hill
2014-15,M. Nesseth,Michael John Nesseth,Michael,Nesseth,P,D,D,1,USA,Minnesota,Windom
1976-77,M. Cubbage,Michael Lee Cubbage,Michael,Cubbage,3B,Z,D,1,USA,Virginia,Charlottesville
1979-80,M. Edwards,Michael Lewis Edwards,Michael,Edwards,2B,D,D,2,USA,Washington,Fort Lewis
1999-00,M. Cather,Michael Peter Cather,Michael,Cather,P,D,D,1,USA,California,San Diego
1970-71,M. Epstein,Michael Peter Epstein,Michael,Epstein,1B,Z,Z,2,USA,Nueva York,Bronx
1968-69,M. Epstein,Michael Peter Epstein,Michael,Epstein,1B,Z,Z,1,USA,Nueva York,Bronx
2016-17,M. O'brien,Michael Todd O'Brien,Michael,O'Brien,P,D,D,1,USA,Virginia,Salem
2003-04,M. González,Michael Vela González,Michael,González,P,D,Z,1,USA,Texas,Corpus Christi
2011-12,M. Drowne,Mike Drowne,Mike,Drowne,P,D,Z,1,USA,Massachusetts,South Hadley
1996-97,M. Hostetler,Mike Hostetler,Mike,Hostetler,P,D,D,1,USA,Colorado,Littleton
2017-18,N. Orf,Nathan Orf,Nathan,Orf,2B,D,D,1,USA,Misuri,Wentzville
1986-87,N. Snell,Nathaniel Snell,Nathaniel,Snell,P,D,D,1,USA,Carolina del Sur,Orangeburg
2013-14,N. Mccully,Nicholas Gathany McCully,Nicholas,McCully,P,D,D,2,USA,Florida,Lakeland
2012-13,N. Mccully,Nicholas Gathany McCully,Nicholas,McCully,P,D,D,1,USA,Florida,Lakeland
2006-07,N. Mccurdy,Nicholas Mccurdy,Nicholas,Mccurdy,P,D,D,1,USA,Alabama,Thomasville
2010-11,N. Ungs,Nicholas Ungs,Nicholas,Ungs,P,D,D,2,USA,Iowa,Dubuque
2003-04,N. Álvarez,Nicolás Álvarez,Nicolás,Álvarez,CF,D,D,1,USA,Florida,Miami
1999-00,N. Hutchins,Norman Hutchins,Norman,Hutchins,CF,D,Z,1,USA,Nueva York,White Plains
1987-88,O. Jones,Odell Jones,Odell,Jones,P,D,D,7,USA,California,Tulare
1986-87,O. Jones,Odell Jones,Odell,Jones,P,D,D,6,USA,California,Tulare
1985-86,O. Jones,Odell Jones,Odell,Jones,P,D,D,5,USA,California,Tulare
1982-83,O. Jones,Odell Jones,Odell,Jones,P,D,D,4,USA,California,Tulare
1981-82,O. Jones,Odell Jones,Odell,Jones,P,D,D,3,USA,California,Tulare
1980-81,O. Jones,Odell Jones,Odell,Jones,P,D,D,2,USA,California,Tulare
1979-80,O. Jones,Odell Jones,Odell,Jones,P,D,D,1,USA,California,Tulare
1967-68,O. Johnson,Owen Johnson,Owen,Johnson,C,D,D,3,USA,Carolina del Norte,Greensboro
1964-65,P. Corrales,Patrick Corrales,Patrick,Corrales,C,D,D,1,USA,California,Los Angeles
2005-06,P. Ahearne,Patrick Howard Ahearne,Patrick,Ahearne,P,D,D,7,USA,California,San Francisco
2004-05,P. Mahomes,Patrick Lavon Mahomes,Patrick,Mahomes,P,D,D,2,USA,Texas,Bryan
1984-85,P. Dodson,Patrick Neal Dodson,Patrick,Dodson,1B,Z,Z,1,USA,California,Santa Monica
2002-03,P. Lennon,Patrick Orlando Lennon,Patrick,Lennon,BD,D,D,1,USA,Carolina del Norte,Whiteville
1976-77,A. Devine,Paul Adrián Devine,Paul,Devine,P,D,D,1,USA,Texas,Galveston
2015-16,P. Clemens,Paul Arthur Clemens,Paul,Clemens,P,D,D,1,USA,Carolina del Sur,Columbia
1987-88,P. Cherry,Paul Cherry,Paul,Cherry,P,Z,Z,2,USA,Florida,Hollywood
1976-77,P. Siebert,Paul Edward Siebert,Paul,Siebert,P,Z,Z,1,USA,Minnesota,Minneapolis
1980-81,P. Hartzell,Paul Franklin Hartzell,Paul,Hartzell,P,D,D,1,USA,Pensilnavia,Bloomsburg
1967-68,P. Knechtges,Paul Knechtges,Paul,Knechtges,P,Z,Z,1,USA,,
1986-87,P. Gibson,Paul Marshall Gibson,Paul,Gibson,P,D,Z,1,USA,Nueva York,Southampton
2014-15,P. Villarreal,Pedro A. Villarreal,Pedro,Villarreal,P,D,D,2,USA,Texas,Edinburg
2013-14,P. Villarreal,Pedro A. Villarreal,Pedro,Villarreal,P,D,D,1,USA,Texas,Edinburg
2004-05,P. Swann,Pedro Swann,Pedro,Swann,CF,Z,D,4,USA,Delaware,Wilmington
1985-86,P. Huffman,Phillip Lee Huffman,Phillip,Huffman,P,D,D,4,USA,Texas,Freeport
1984-85,P. Huffman,Phillip Lee Huffman,Phillip,Huffman,P,D,D,3,USA,Texas,Freeport
1983-84,P. Huffman,Phillip Lee Huffman,Phillip,Huffman,P,D,D,2,USA,Texas,Freeport
1977-78,R. McGilberry,Randall Kent McGilberry,Randall,McGilberry,P,A,D,1,USA,Alabama,Mobile
2002-03,R. Beasley,Raymond Beasley,Raymond,Beasley,P,D,Z,1,USA,Georgia,Savannah
1981-82,R. Smith,Raymond Edward Smith,Raymond,Smith,C,D,D,1,USA,California,Glendale
1977-78,R. Newman,Raymond Francis Newman,Raymond,Newman,P,Z,Z,1,USA,Indiana,Evansville
1984-85,R. Patterson,Reginald Allen Patterson,Reginald,Patterson,P,D,D,3,USA,Alabama,Birmingham
1978-79,R. Cerone,Richard Aldo Cerone,Richard,Cerone,IF,D,D,1,USA,Nueva Jersey,Newark
1989-90,R. Sauveur,Richard Daniel Sauveur,Richard,Sauveur,P,Z,Z,3,USA,Virginia,Arlington
1971-72,R. Gardner,Richard Frank Gardner,Richard,Gardner,P,D,Z,1,USA,Nueva York,Binghamton
1976-77,R. Dauer,Richard Fremont Dauer,Richard,Dauer,IF,D,D,1,USA,California,San Bernardino
1976-77,D. Pole,Richard Henry Pole,Richard,Pole,P,D,D,2,USA,Michigan,Trout Creek
1980-81,R. Mahler,Richard Keith Mahler,Richard,Mahler,P,D,D,2,USA,Texas,Austin
1998-99,R. Kelley,Richard Kelley,Richard,Kelley,P,Z,Z,1,USA,Florida,Lakeland
1982-83,R. Anderson,Richard Lee Anderson,Richard,Anderson,P,D,D,1,USA,California,Inglewood
1969-70,R. Nye,Richard Raymond Nye,Richard,Nye,P,Z,Z,2,USA,California,Oakland
1968-69,R. Nye,Richard Raymond Nye,Richard,Nye,P,Z,Z,1,USA,California,Oakland
1984-85,R. Siwy,Richard Siwy,Richard,Siwy,P,D,D,1,USA,Rhode Island,Central Falls
1992-93,R. Robertson,Richard Wayne Robertson,Richard,Robertson,P,Z,Z,1,USA,Texas,Nacogdoches
1966-67,B. Belinsky,Robert Belinsky,Robert,Belinsky,P,Z,Z,2,USA,Nueva York,New York
1969-70,B. Brooks,Robert Brooks,Robert,Brooks,CF,D,D,1,USA,California,Los Angeles
1982-83,B. Clark,Robert Cale Clark,Robert,Clark,CF,D,D,1,USA,California,Sacramento
2012-13,R. Coello,Robert Coello,Robert,Coello,P,D,D,3,USA,Nueva Jersey,Bayonne
1976-77,B. Johnson,Robert Dale Johnson,Robert,Johnson,P,Z,D,1,USA,Illinois,Aurora
1963-64,B. Lee,Robert Dean Lee,Robert,Lee,P,D,D,1,USA,Iowa,Ottumwa
1984-85,R. Fuson,Robert Fuson,Robert,Fuson,P,D,D,1,USA,Florida,Tampa
1965-66,B. Allen,Robert Gray Allen,Robert,Allen,P,Z,Z,1,USA,Texas,Tatum
1989-90,B. Hamelin,Robert James Hamelin,Robert,Hamelin,1B,Z,Z,1,USA,Nueva Jersey,Elizabeth
2009-10,B. Livingston,Robert James Livingston,Robert,Livingston,P,Z,Z,1,USA,Misuri,St. Louis
1967-68,B. Watson,Robert José Watson,Robert,Watson,1B,D,D,1,USA,California,Los Angeles
1979-80,B. Galasso,Robert Joseph Galasso,Robert,Galasso,P,Z,D,2,USA,Pensilnavia,Connellsville
2003-04,R. Marquez,Robert Marquez,Robert,Marquez,P,D,D,4,USA,Texas,Alpine
1996-97,B. Jones,Robert Mitchell Jones,Robert,Jones,P,D,Z,1,USA,Nueva Jersey,Orange
2017-18,R. Carson,Robert N. Carson,Robert,Carson,P,Z,Z,3,USA,Misisipi,Hattiesburg
2003-04,R. Stratton,Robert Stratton,Robert,Stratton,CF,D,D,2,USA,California,Santa Barbara
2002-03,R. Stratton,Robert Stratton,Robert,Stratton,CF,D,D,1,USA,California,Santa Barbara
1999-00,R. Henderson,Rodney Wood Henderson,Rodney,Henderson,P,D,D,2,USA,Kentucky,Greensburg
1997-98,R. Henderson,Rodney Wood Henderson,Rodney,Henderson,P,D,D,1,USA,Kentucky,Greensburg
1978-79,R. Alexander,Roger Alexander,Roger,Alexander,P,D,D,1,USA,Oklahoma,Midwest City
1982-83,B. Brown,Rogers Lee Brown,Rogers,Brown,CF,A,D,3,USA,Virginia,Eastville
1968-69,R. Fingers,Roland Glen Fingers,Roland,Fingers,P,D,D,1,USA,Ohio,Steubenville
1974-75,S. Jackson,Roland Thomas Jackson,Roland,Jackson,IF,Z,D,1,USA,Distrito de Columbia,Washington
1982-83,R. Jackson,Ronnie Damien Jackson,Ronnie,Jackson,IF,D,D,1,USA,Alabama,Birmingham
1977-78,R. Harrison,Roric Edward Harrison,Roric,Harrison,P,D,D,5,USA,California,Los Angeles
1974-75,R. Harrison,Roric Edward Harrison,Roric,Harrison,P,D,D,3,USA,California,Los Angeles
1974-75,R. Office,Rowland Johnie Office,Rowland,Office,CF,Z,Z,1,USA,California,Sacramento
1979-80,R. Jackson,Roy Lee Jackson,Roy,Jackson,P,D,D,2,USA,Alabama,Opelika
1991-92,R. Amaro,Ruben Amaro Jr.,Ruben,Amaro Jr,CF,A,D,3,USA,Pensilnavia,Philadelphia
1977-78,R. Meoli,Rudolph Bartholomew Meoli,Rudolph,Meoli,2B,Z,D,1,USA,Nueva York,Troy
1976-77,R. Jones,Ruppert Sanderson Jones,Ruppert,Jones,CF,Z,Z,2,USA,Texas,Dallas
2018-19,S. Shuman,Rutherford Scott Shuman,Rutherford,Shuman,P,D,D,2,USA,Georgia,Valdosta
2014-15,R. Reid,Ryan Allen Reid,Ryan,Reid,P,Z,D,3,USA,Maine,Portland
2007-08,R. Basner,Ryan Basner,Ryan,Basner,P,D,D,1,USA,Pensilnavia,West Chester
2010-11,R. Glynn,Ryan Glynn,Ryan,Glynn,P,D,D,1,USA,Virginia,Portsmouth
2006-07,R. Sweeney,Ryan Joseph Sweeney,Ryan,Sweeney,CF,Z,Z,1,USA,Iowa,Cedar Rapids
2005-06,R. Keefer,Ryan Keefer,Ryan,Keefer,P,Z,Z,1,USA,Pensilnavia,Bloomsburg
2016-17,R. Kussmaul,Ryan Kussmaul,Ryan,Kussmaul,P,D,D,5,USA,Wisconsin,Fennimore
2015-16,R. Kussmaul,Ryan Kussmaul,Ryan,Kussmaul,P,D,D,4,USA,Wisconsin,Fennimore
2014-15,R. Kussmaul,Ryan Kussmaul,Ryan,Kussmaul,P,D,D,3,USA,Wisconsin,Fennimore
2013-14,R. Kussmaul,Ryan Kussmaul,Ryan,Kussmaul,P,D,D,2,USA,Wisconsin,Fennimore
