"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda","game_pk","day_nigth"
1247,"NA","2022-23","10/11/2022",1,"Tigres de Aragua",1,"Jorgan Cavanerio ",4,7,3,3,1,1,1,17,5.82,0,1,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714309,"night"
1248,"NA","2022-23","10/11/2022",1,"Tigres de Aragua",2,"Pedro Rodriguez",0.1,1,2,2,0,0,0,3,14.4,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714309,"night"
1249,"NA","2022-23","10/11/2022",1,"Tigres de Aragua",3,"Jorge Rondon",0.2,3,2,1,0,0,0,6,27,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714309,"night"
1250,"NA","2022-23","10/11/2022",1,"Tigres de Aragua",4,"Rafael Cova",0.1,4,4,4,0,0,1,5,14.54,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714309,"night"
1251,"NA","2022-23","10/11/2022",1,"Tigres de Aragua",5,"Edgar Ibarra",0.2,2,1,1,0,0,2,4,5.4,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714309,"night"
1252,"NA","2022-23","10/11/2022",1,"Leones del Caracas",1,"Aliangel Lopez",4,7,0,0,0,1,2,17,0.57,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714309,"night"
1253,"NA","2022-23","10/11/2022",1,"Leones del Caracas",2,"Yoimer Camacho ",2,3,1,0,0,0,1,9,2.31,1,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714309,"night"
1254,"NA","2022-23","10/11/2022",1,"Leones del Caracas",3,"Felix Carvallo",1,1,0,0,0,0,0,4,6.75,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714309,"night"
1255,"NA","2022-23","10/11/2022",2,"Tigres de Aragua",1,"Jair Jurrjens",2,3,2,2,1,1,2,10,9.53,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714308,"night"
1256,"NA","2022-23","10/11/2022",2,"Tigres de Aragua",2,"Franklin Morales ",0.2,1,2,2,0,1,2,4,15,0,1,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714308,"night"
1257,"NA","2022-23","10/11/2022",2,"Tigres de Aragua",3,"Leonel Campos",0.1,2,1,1,1,0,1,3,16.2,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714308,"night"
1258,"NA","2022-23","10/11/2022",2,"Tigres de Aragua",4,"Angelo Palumbo",2,1,0,0,0,1,0,8,3.18,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714308,"night"
1259,"NA","2022-23","10/11/2022",2,"Tigres de Aragua",5,"Connor Law",1,1,0,0,0,0,1,4,1.29,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714308,"night"
1260,"NA","2022-23","10/11/2022",2,"Leones del Caracas",1,"Ronald Herrera",3,4,2,1,0,2,1,15,2.57,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1261,"NA","2022-23","10/11/2022",2,"Leones del Caracas",2,"Tiago Da Silva",0.2,3,1,1,0,0,1,5,3.86,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1262,"NA","2022-23","10/11/2022",2,"Leones del Caracas",3,"Luis Rico ",0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1263,"NA","2022-23","10/11/2022",2,"Leones del Caracas",4,"José Mujica ",1,1,0,0,0,0,0,3,1.8,0,0,0,0,1,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1264,"NA","2022-23","10/11/2022",2,"Leones del Caracas",5,"Tyler Wilson ",1,0,0,0,0,0,1,3,3.52,0,0,0,0,1,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1265,"NA","2022-23","10/11/2022",2,"Leones del Caracas",6,"Anthony Castro ",1,0,0,0,0,0,0,3,0,0,0,1,0,0,"Estadio Universitario","Tigres de Aragua","regular",714308,"night"
1266,"NA","2022-23","10/11/2022",1,"Caribes de Anzoategui",1,"Carlos Teller ",5,1,0,0,0,1,1,17,5.93,1,0,0,0,0,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714418,"night"
1267,"NA","2022-23","10/11/2022",1,"Caribes de Anzoategui",2,"Mayckol Guaipe ",1,0,0,0,0,0,0,4,0,0,0,0,0,1,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714418,"night"
1268,"NA","2022-23","10/11/2022",1,"Caribes de Anzoategui",3,"Loiger Padron ",1,0,0,0,0,0,3,3,0,0,0,0,0,1,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714418,"night"
1269,"NA","2022-23","10/11/2022",1,"Caribes de Anzoategui",4,"José Torres ",1,1,0,0,0,0,0,4,4.15,0,0,0,0,1,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714418,"night"
1270,"NA","2022-23","10/11/2022",1,"Caribes de Anzoategui",5,"Andres Sotillet ",1,0,0,0,0,0,1,3,1.04,0,0,1,0,0,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714418,"night"
1271,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",1,"Mario Sanchez ",5.1,3,1,1,0,0,3,19,1.86,0,1,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1272,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",2,"Jefferson Medina",0.2,0,0,0,0,1,0,3,0,0,0,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1273,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",3,"Arcenio Leon",1,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1274,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",4,"Ismael Guillón",1,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1275,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",5,"Elvis Araujo",0.2,2,1,1,0,0,2,4,5.56,0,0,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1276,"NA","2022-23","10/11/2022",1,"Aguilas del Zulia",6,"Alejandro Chacin",0.1,1,0,0,0,1,1,3,0,0,0,0,0,0,"Estadio Luis Aparicio","Caribes de Anzoategui","regular",714418,"night"
1277,"NA","2022-23","10/11/2022",1,"Bravos de Margarita",1,"Luis Rijo",1.1,6,3,3,0,0,0,10,20.25,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714277,"night"
1278,"NA","2022-23","10/11/2022",1,"Bravos de Margarita",2,"David Ramos",3.1,3,1,1,0,0,2,11,3.38,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714277,"night"
1279,"NA","2022-23","10/11/2022",1,"Bravos de Margarita",3,"Yender Cáramo ",2.1,0,0,0,0,1,1,8,0,1,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714277,"night"
1280,"NA","2022-23","10/11/2022",1,"Bravos de Margarita",4,"Dimitri Kourtis",1,1,0,0,0,0,1,4,6.75,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714277,"night"
1281,"NA","2022-23","10/11/2022",1,"Bravos de Margarita",5,"Carlos Navas",1,1,0,0,0,1,2,5,6.75,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714277,"night"
1282,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",1,"Felix Doubront",3,4,3,3,0,1,2,12,9,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1283,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",2,"Jose Ascanio",1,1,1,1,1,0,0,4,3.18,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1284,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",3,"Nivaldo Rodriguez",2,3,0,0,0,0,1,8,5.91,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1285,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",4,"Henderson Alvarez III ",1,3,3,2,0,0,0,7,4.09,0,1,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1286,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",5,"Anthony Vizcaya",1,2,2,1,0,0,0,6,3.18,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1287,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",6,"Angel Acevedo",0.1,3,1,1,0,1,0,5,10.8,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1288,"NA","2022-23","10/11/2022",1,"Navegantes del Magallanes",7,"Yorvin Pantoja",0.2,0,0,0,0,0,0,2,6,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714277,"night"
1289,"guejun001","2022-23","10/11/2022",1,"Tiburones de la Guaira",1,"Junior Guerra",5,1,0,0,0,4,6,18,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1290,"kicmic001","2022-23","10/11/2022",1,"Tiburones de la Guaira",2,"Mike Kickham ",0.1,1,1,1,0,0,0,3,8.44,0,0,0,0,1,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1291,"antnat001","2022-23","10/11/2022",1,"Tiburones de la Guaira",3,"Nathan Antone ",1.1,0,0,0,0,1,1,5,1.17,0,0,0,1,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1292,"infgre001","2022-23","10/11/2022",1,"Tiburones de la Guaira",4,"Gregory Infante",0.1,0,0,0,0,0,0,1,4.7,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1293,"ramwli001","2022-23","10/11/2022",1,"Tiburones de la Guaira",5,"Williams Ramirez",1.1,0,0,0,0,1,1,6,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1294,"ramedu001","2022-23","10/11/2022",1,"Tiburones de la Guaira",6,"Edubray Ramos ",0.2,1,0,0,0,0,0,3,0,1,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1295,"herrob001","2022-23","10/11/2022",1,"Tiburones de la Guaira",7,"Robinson Hernandez ",1,0,1,0,0,0,0,4,6.35,0,0,1,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714367,"night"
1296,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",1,"Nestor Molina",3,4,1,1,0,2,2,16,3.31,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1297,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",2,"Brayan Perez",2,0,0,0,0,0,3,5,1.5,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1298,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",3,"Yapson Gomez",1,0,0,0,0,0,0,3,2.25,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1299,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",4,"James Dykstra",1,0,0,0,0,1,1,4,7.71,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1300,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",5,"Darwinzon Hernandez",1,0,0,0,0,1,2,5,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1301,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",6,"Vicente Campos",0.2,1,0,0,0,0,0,3,6.43,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1302,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",7,"Jean Machi ",0.2,1,2,1,0,0,0,3,11.25,0,1,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1303,"NA","2022-23","10/11/2022",1,"Cardenales de Lara",8,"Pedro Garcia",0.2,1,1,1,0,1,1,4,13.5,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de La Guaira","regular",714367,"night"
1304,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",1,"Yohander Méndez ",2.2,6,5,5,1,2,5,16,4.6,0,1,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1305,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",2,"Darwin Ramos",1,2,2,2,0,1,0,6,5.4,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1306,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",3,"Jose Martinez",1,2,0,0,0,1,0,6,1.5,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1307,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",4,"Henderson Alvarez III",1.1,1,0,0,0,1,0,6,3.65,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1308,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",5,"Eduard Bazardo",1,0,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1309,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",6,"Anthony Vizcaya",0.2,3,2,2,0,0,2,5,4.5,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1310,"NA","2022-23","11/11/2022",1,"Navegantes del Magallanes",7,"Robert Zárate",0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714307,"night"
1311,"NA","2022-23","11/11/2022",1,"Leones del Caracas",1,"Elih Villanueva ",5,3,4,4,1,1,6,19,4.15,1,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular",714307,"night"
1312,"NA","2022-23","11/11/2022",1,"Leones del Caracas",2,"José Mujica ",1,2,1,1,0,0,0,4,3,0,0,0,0,1,"Estadio Universitario","Navegantes del Magallanes","regular",714307,"night"
1313,"NA","2022-23","11/11/2022",1,"Leones del Caracas",3,"Miguel Socolovich ",1,1,0,0,0,0,2,3,2.57,0,0,0,0,1,"Estadio Universitario","Navegantes del Magallanes","regular",714307,"night"
1314,"NA","2022-23","11/11/2022",1,"Leones del Caracas",4,"Tyler Wilson ",1,0,0,0,0,1,0,3,3.12,0,0,0,0,1,"Estadio Universitario","Navegantes del Magallanes","regular",714307,"night"
1315,"NA","2022-23","11/11/2022",1,"Leones del Caracas",5,"Anthony Castro",1,0,0,0,0,0,2,3,0,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular",714307,"night"
1316,"herjas001","2022-23","11/11/2022",1,"Tiburones de la Guaira",1,"Jasier Herrera",4.1,5,1,1,0,4,1,21,3.48,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",729536,"night"
1317,"garram001","2022-23","11/11/2022",1,"Tiburones de la Guaira",2,"Ramon Garcia ",1.2,0,0,0,0,0,0,5,0,1,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",729536,"night"
1318,"suncar001","2022-23","11/11/2022",1,"Tiburones de la Guaira",3,"Carlos Suniaga",1.2,2,1,1,0,1,1,7,1.5,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",729536,"night"
1319,"guzlui001","2022-23","11/11/2022",1,"Tiburones de la Guaira",4,"Luis Guzman",0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",729536,"night"
1320,"ramedu001","2022-23","11/11/2022",1,"Tiburones de la Guaira",5,"Edubray Ramos",1,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",729536,"night"
1321,"NA","2022-23","11/11/2022",1,"Bravos de Margarita",1,"Henry Centeno ",6,6,3,3,0,2,4,26,3.91,0,1,0,0,0,"Estadio Forum de La Guaira","Tiburones de La Guaira","regular",729536,"night"
1322,"NA","2022-23","11/11/2022",1,"Bravos de Margarita",2,"Jonaiker Villalobos",0,3,3,3,0,0,0,3,81,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de La Guaira","regular",729536,"night"
1323,"NA","2022-23","11/11/2022",1,"Bravos de Margarita",3,"Ivan Hernandez",0.1,1,0,0,0,0,0,3,5.68,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de La Guaira","regular",729536,"night"
1324,"jimdan001","2022-23","11/11/2022",1,"Bravos de Margarita",4,"Dedgar Jimenez",2.2,0,0,0,0,3,0,10,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de La Guaira","regular",729536,"night"
1325,"NA","2022-23","12/11/2022",1,"Navegantes del Magallanes",1,"Luis Martinez",2,2,0,0,0,3,2,11,4.26,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714393,"night"
1326,"NA","2022-23","12/11/2022",1,"Navegantes del Magallanes",2,"Robert Zárate ",1,1,0,0,0,0,0,3,0,1,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714393,"night"
1327,"NA","2022-23","12/11/2022",1,"Navegantes del Magallanes",3,"Nivaldo Rodriguez ",2,1,1,1,0,1,2,8,5.68,0,0,0,0,1,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714393,"night"
1328,"NA","2022-23","12/11/2022",1,"Navegantes del Magallanes",4,"Alvin Herrera",0,2,1,1,0,1,0,3,16.2,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714393,"night"
1329,"NA","2022-23","12/11/2022",1,"Navegantes del Magallanes",5,"Eduard Bazardo",2,0,0,0,0,0,0,5,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714393,"night"
1330,"NA","2022-23","12/11/2022",1,"Bravos de Margarita",1,"Julio Vivas ",3.1,3,1,1,0,0,3,13,3.38,0,1,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714393,"night"
1331,"NA","2022-23","12/11/2022",1,"Bravos de Margarita",2,"Yender Cáramo",0.2,3,1,1,0,0,0,5,0.82,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714393,"night"
1332,"NA","2022-23","12/11/2022",1,"Bravos de Margarita",3,"Gustavo J. Rodriguez",1,0,0,0,0,1,0,5,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714393,"night"
1333,"NA","2022-23","12/11/2022",1,"Bravos de Margarita",4,"Kender Villegas",0.2,4,5,5,0,0,0,7,21.6,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714393,"night"
1334,"NA","2022-23","12/11/2022",1,"Bravos de Margarita",5,"Luis Torres",1.1,2,1,0,0,0,1,8,1.8,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714393,"night"
1335,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",1,"Wilfredo Boscan ",0.2,5,5,5,0,1,0,8,67.5,0,1,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1336,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",2,"Robert Zárate",0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1337,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",3,"Jesus Fandino",1.2,4,1,1,0,1,0,9,4.05,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1338,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",4,"Jose Ascanio",1.1,1,0,0,0,0,0,5,2.57,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1339,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",5,"Angel Acevedo",0.2,0,0,0,0,0,0,2,7.71,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1340,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",6,"Darwin Ramos",0.1,1,0,0,0,0,0,2,5.14,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1341,"NA","2022-23","12/11/2022",2,"Navegantes del Magallanes",7,"Alvin Herrera",1,0,0,0,0,2,0,5,10.13,0,0,0,0,0,"Estadio Jose Bernardo Perez","Bravos de Margarita","regular",714401,"night"
1342,"NA","2022-23","12/11/2022",2,"Bravos de Margarita",1,"José Mesa Jr. ",5,1,0,0,0,3,2,19,0.77,1,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714401,"night"
1343,"NA","2022-23","12/11/2022",2,"Bravos de Margarita",2,"Dimitri Kourtis",1,1,0,0,0,0,0,3,4.91,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714401,"night"
1344,"NA","2022-23","12/11/2022",2,"Bravos de Margarita",3,"Carlos Navas",1,0,0,0,0,0,1,3,5.68,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714401,"night"
1345,"NA","2022-23","12/11/2022",1,"Leones del Caracas",1,"JC Ramírez",4,4,0,0,0,0,4,17,5.56,0,0,0,0,0,"Estadio Universitario","Tiburones de La Guaira","regular",714252,"night"
1346,"NA","2022-23","12/11/2022",1,"Leones del Caracas",2,"Tiago Da Silva ",2,1,0,0,0,0,3,7,3,1,0,0,0,0,"Estadio Universitario","Tiburones de La Guaira","regular",714252,"night"
1347,"NA","2022-23","12/11/2022",1,"Leones del Caracas",3,"Ricardo Rodríguez ",1,1,0,0,0,1,0,5,2.57,0,0,0,0,1,"Estadio Universitario","Tiburones de La Guaira","regular",714252,"night"
1348,"NA","2022-23","12/11/2022",1,"Leones del Caracas",4,"Miguel Socolovich ",1,0,0,0,0,0,1,3,2.25,0,0,0,0,1,"Estadio Universitario","Tiburones de La Guaira","regular",714252,"night"
1349,"NA","2022-23","12/11/2022",1,"Leones del Caracas",5,"Anthony Castro ",1,0,0,0,0,0,1,3,0,0,0,1,0,0,"Estadio Universitario","Tiburones de La Guaira","regular",714252,"night"
1350,"escant001","2022-23","12/11/2022",1,"Tiburones de la Guaira",1,"Anthony Escobar ",1.1,3,2,2,0,1,0,8,5.63,0,1,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1351,"petjoh001","2022-23","12/11/2022",1,"Tiburones de la Guaira",2,"Jonathan Petit",2.2,1,0,0,0,0,2,9,3,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1352,"guzemi001","2022-23","12/11/2022",1,"Tiburones de la Guaira",3,"Emilker Guzman",2,1,0,0,0,0,1,7,1.42,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1353,"antnat001","2022-23","12/11/2022",1,"Tiburones de la Guaira",4,"Nathan Antone",1,0,0,0,0,0,2,3,1.04,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1354,"herarn001","2022-23","12/11/2022",1,"Tiburones de la Guaira",5,"Arnaldo Hernandez",1,0,0,0,0,0,1,3,1.04,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1355,"ramwli001","2022-23","12/11/2022",1,"Tiburones de la Guaira",6,"Williams Ramirez",1,1,0,0,0,1,1,5,0,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",714252,"night"
1356,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",1,"Jesus Paricaguan ",2.2,3,5,1,1,1,0,14,5,0,1,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1357,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",2,"Jean Toledo",0.1,0,0,0,0,0,0,1,2.7,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1358,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",3,"Luis Amaya",1,1,3,3,0,2,0,6,20.25,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1359,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",4,"Yeizo Campos",2,0,1,0,0,3,0,9,1.23,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1360,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",5,"Jairo Díaz",1,0,0,0,0,0,0,3,10.13,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1361,"NA","2022-23","12/11/2022",1,"Caribes de Anzoategui",6,"Elvin Liriano",1,2,1,1,0,1,0,6,3.38,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714362,"night"
1362,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",1,"Luis Lugo",4,3,1,1,1,1,2,16,3.24,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1363,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",2,"Luis Contreras ",1,0,0,0,0,0,1,3,0,1,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1364,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",3,"Keyvius Sampson",2.1,3,0,0,0,0,3,10,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1365,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",4,"Hector Rodriguez",0.1,1,0,0,0,1,0,3,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1366,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",5,"Jesus Sanchez",0.1,0,0,0,0,0,1,1,1.69,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1367,"NA","2022-23","12/11/2022",1,"Cardenales de Lara",6,"Luís Madero",1,2,1,1,0,0,0,5,11.12,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Caribes de Anzoategui","regular",714362,"night"
1368,"NA","2022-23","12/11/2022",1,"Aguilas del Zulia",1,"Miguel Yajure",0.2,3,5,1,0,1,1,7,13.5,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714226,"night"
1369,"NA","2022-23","12/11/2022",1,"Aguilas del Zulia",2,"Porfirio Lopez",5.1,1,0,0,0,2,5,20,0,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714226,"night"
1370,"NA","2022-23","12/11/2022",1,"Aguilas del Zulia",3,"Ismael Guillón",0.2,1,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714226,"night"
