"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente"
263,"rocbra001","2021-22","07/11/2021",13,"Tiburones de la Guaira","SS",2,"Brayan Rocchio ",5,2,3,1,0,0,0,0,0,1,0.432,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
264,"vasdan001","2021-22","07/11/2021",13,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,0,1,0,0,0,2,0,0,1,0.3,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
265,"maydan001","2021-22","07/11/2021",13,"Tiburones de la Guaira","1B",4,"Daniel Mayora ",4,0,0,0,0,0,1,0,1,2,0.25,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
266,"marteo001","2021-22","07/11/2021",13,"Tiburones de la Guaira","LF",5,"Teodoro Martinez ",4,1,0,0,0,0,0,0,0,2,0.341,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
267,"cedlor001","2021-22","07/11/2021",13,"Tiburones de la Guaira","LF",,"Lorenzo Cedrola ",0,0,0,0,0,0,0,0,0,0,0.219,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
268,"guzjes001","2021-22","07/11/2021",13,"Tiburones de la Guaira","DH",6,"Jesus Guzman ",4,1,3,0,0,0,0,0,0,0,0.556,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
269,"avilu001","2021-22","07/11/2021",13,"Tiburones de la Guaira","3B",7,"Luis Aviles Jr",4,0,0,0,0,0,0,0,1,4,0.269,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
270,"ferjua001","2021-22","07/11/2021",13,"Tiburones de la Guaira","C",8,"Juan Fernandez ",3,0,3,1,0,0,2,1,0,0,0.533,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
271,"garmai002","2021-22","07/11/2021",13,"Tiburones de la Guaira","2B",9,"Maikel Garcia ",3,0,0,0,0,0,0,0,0,3,0.176,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
272,,"2021-22","07/11/2021",13,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",5,1,2,1,0,0,2,0,2,2,0.286,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
