"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"58","1988-89","24","1","1","0.5000","1.86","3","3","0","","0","19.1","22","","4","","3","7","1.293","10.24","","1.40","3.26","2.3333","","NO"
"59","1988-89","35","0","2","0.0000","5.40","4","0","0","","1","6.2","7","","4","","2","5","1.350","9.45","","2.70","6.75","2.5000","","NO"
"60","1988-89","22","0","2","0.0000","21.60","2","2","0","","0","3.1","12","","8","","1","3","3.900","32.40","","2.70","8.10","3.0000","","NO"
"61","1988-89","20","0","0","","1.50","3","0","0","","0","6.0","5","","1","","0","3","0.833","7.50","","0.00","4.50","","","NO"
"62","1988-89","28","0","0","","1.93","5","1","0","","0","9.1","7","","2","","4","1","1.179","6.75","","3.86","0.96","0.2500","","NO"
"63","1989-90","36","1","0","1.0000","4.15","4","0","0","","1","8.2","9","","4","","5","11","1.615","9.35","","5.19","11.42","2.2000","","NO"
"64","1989-90","24","1","0","1.0000","1.80","3","1","0","","0","10.0","12","","2","","2","7","1.400","10.80","","1.80","6.30","3.5000","","NO"
"65","1989-90","23","0","0","","5.87","3","3","0","","0","7.2","10","","5","","7","6","2.217","11.74","","8.22","7.04","0.8571","","NO"
"66","1989-90","25","1","1","0.5000","3.10","4","3","0","","0","20.1","19","","7","","6","6","1.230","8.41","","2.66","2.66","1.0000","","NO"
"67","1989-90","27","2","0","1.0000","1.15","2","2","1","","0","15.2","12","","2","","6","5","1.149","6.89","","3.45","2.87","0.8333","","NO"
"68","1989-90","35","1","0","1.0000","2.53","4","0","0","","0","10.2","9","","3","","3","5","1.125","7.59","","2.53","4.22","1.6667","","NO"
"69","1989-90","24","0","1","0.0000","3.93","3","3","0","","0","18.1","16","","8","","6","5","1.200","7.85","","2.95","2.45","0.8333","","NO"
"70","1989-90","21","1","0","1.0000","1.50","4","0","0","","0","6.0","5","","1","","3","3","1.333","7.50","","4.50","4.50","1.0000","","NO"
"71","1989-90","19","0","1","0.0000","0.00","2","0","0","","0","2.2","1","","0","","1","2","0.750","3.38","","3.38","6.75","2.0000","","NO"
"72","1989-90","21","0","2","0.0000","4.50","7","0","0","","1","8.0","7","","4","","6","2","1.625","7.87","","6.75","2.25","0.3333","","NO"
"73","1989-90","0","0","0","","","1","0","0","","0","0.0","0","","0","","1","0","","","","","","0.0000","","NO"
"74","1991-92","30","0","1","0.0000","1.80","6","0","0","","2","10.0","6","","2","","8","11","1.400","5.40","","7.20","9.90","1.3750","","NO"
"75","1991-92","23","0","2","0.0000","3.57","5","3","0","","2","17.2","18","","7","","6","9","1.358","9.17","","3.06","4.58","1.5000","","NO"
"76","1991-92","25","3","0","1.0000","1.83","3","3","0","","0","19.2","12","","4","","7","8","0.966","5.49","","3.20","3.66","1.1429","","SI"
"77","1991-92","0","1","1","0.5000","1.26","3","2","0","","0","14.1","11","","2","","1","6","0.837","6.91","","0.63","3.77","6.0000","","NO"
"78","1991-92","27","1","0","1.0000","2.57","1","1","0","","0","7.0","3","","2","","3","6","0.857","3.86","","3.86","7.71","2.0000","","NO"
"79","1991-92","23","0","0","","3.52","6","0","0","","0","7.2","7","","3","","2","2","1.174","8.22","","2.35","2.35","1.0000","","NO"
"80","1991-92","19","0","1","0.0000","4.00","2","1","0","","0","9.0","13","","4","","1","2","1.556","13.00","","1.00","2.00","2.0000","","NO"
"81","1991-92","23","0","0","","4.15","3","0","0","","0","8.2","7","","4","","2","1","1.038","7.27","","2.08","1.04","0.5000","","NO"
"82","1991-92","27","0","1","0.0000","5.79","5","0","0","","0","4.2","9","","3","","3","0","2.571","17.36","","5.79","0.00","0.0000","","NO"
"83","1991-92","25","0","0","","0.00","2","0","0","","0","0.2","2","","0","","1","0","4.500","27.00","","13.50","0.00","0.0000","","NO"
"84","1991-92","18","0","0","","9.00","1","0","0","","0","3.0","5","","3","","0","0","1.667","15.00","","0.00","0.00","","","NO"
"85","1991-92","24","0","1","0.0000","14.40","2","2","0","","0","5.0","10","","8","","2","0","2.400","18.00","","3.60","0.00","0.0000","","NO"
"86","2000-01","28","1","1","0.5000","2.12","6","1","0","","0","17.0","12","","4","","7","18","1.118","6.35","","3.71","9.53","2.5714","","NO"
"87","2000-01","25","0","2","0.0000","5.93","3","3","0","","0","13.2","22","","9","","4","12","1.902","14.49","","2.63","7.90","3.0000","","NO"
"88","2000-01","34","2","1","0.6667","4.30","6","1","0","","1","14.2","15","","7","","3","10","1.227","9.20","","1.84","6.14","3.3333","","SI"
"89","2000-01","28","1","3","0.2500","2.57","4","4","1","","0","28.0","24","","8","","3","7","0.964","7.71","","0.96","2.25","2.3333","","NO"
"90","2000-01","23","0","0","","3.09","2","2","0","","0","11.2","5","","4","","3","6","0.686","3.86","","2.31","4.63","2.0000","","NO"
"91","2000-01","21","0","1","0.0000","7.94","6","0","0","","2","5.2","6","","5","","3","6","1.588","9.53","","4.76","9.53","2.0000","","NO"
"92","2000-01","25","0","0","","4.61","3","2","0","","0","13.2","15","","7","","5","4","1.463","9.88","","3.29","2.63","0.8000","","NO"
"93","2000-01","22","1","2","0.3333","8.10","3","3","0","","0","10.0","13","","9","","6","4","1.900","11.70","","5.40","3.60","0.6667","","NO"
"94","2000-01","28","0","1","0.0000","2.70","6","0","0","","0","6.2","6","","2","","2","3","1.200","8.10","","2.70","4.05","1.5000","","NO"
"95","2000-01","23","0","0","","18.00","6","0","0","","0","3.0","5","","6","","2","3","2.333","15.00","","6.00","9.00","1.5000","","NO"
"96","2000-01","34","0","0","","3.24","6","0","0","","1","8.1","10","","3","","2","2","1.440","10.80","","2.16","2.16","1.0000","","NO"
"97","2000-01","32","0","0","","10.13","1","0","0","","0","2.2","6","","3","","0","1","2.250","20.25","","0.00","3.38","","","NO"
"98","2000-01","18","0","0","","4.50","2","0","0","","0","2.0","2","","1","","1","1","1.500","9.00","","4.50","4.50","1.0000","","NO"
"99","2000-01","26","0","0","","10.13","2","0","0","","0","2.2","4","","3","","0","1","1.500","13.50","","0.00","3.38","","","NO"
"100","2000-01","18","0","0","","15.19","5","0","0","","0","5.1","13","","9","","2","1","2.813","21.94","","3.38","1.69","0.5000","","NO"
"101","2000-01","21","0","0","","18.00","2","0","0","","0","1.0","1","","2","","2","0","3.000","9.00","","18.00","0.00","0.0000","","NO"
"102","2003-04","21","0","1","0.0000","1.74","9","0","0","","5","10.1","7","","2","","3","18","0.968","6.10","","2.61","15.68","6.0000","","NO"
"103","2003-04","24","0","1","0.0000","3.45","3","3","0","","0","15.2","15","","6","","3","15","1.149","8.62","","1.72","8.62","5.0000","","SI"
"104","2003-04","28","2","1","0.6667","1.45","3","3","0","","0","18.2","21","","3","","3","11","1.286","10.13","","1.45","5.30","3.6667","","SI"
"105","2003-04","31","0","3","0.0000","10.57","4","4","0","","0","15.1","29","","18","","4","10","2.152","17.02","","2.35","5.87","2.5000","","NO"
"106","2003-04","31","1","0","1.0000","0.00","2","2","0","","0","13.2","7","","0","","2","10","0.659","4.61","","1.32","6.59","5.0000","","SI"
"107","2003-04","25","1","0","1.0000","1.69","8","0","0","","1","10.2","6","","2","","2","7","0.750","5.06","","1.69","5.91","3.5000","","NO"
"108","2003-04","20","0","0","","5.40","3","1","0","","0","8.1","13","","5","","1","7","1.680","14.04","","1.08","7.56","7.0000","","NO"
"109","2003-04","30","1","1","0.5000","7.04","2","2","0","","0","7.2","10","","6","","6","6","2.087","11.74","","7.04","7.04","1.0000","","NO"
"110","2003-04","21","0","0","","1.69","5","0","0","","0","5.1","4","","1","","1","6","0.938","6.75","","1.69","10.13","6.0000","","NO"
"111","2003-04","31","0","0","","7.36","5","0","0","","0","7.1","10","","6","","6","6","2.182","12.27","","7.36","7.36","1.0000","","NO"
"112","2003-04","24","0","1","0.0000","4.05","5","0","0","","0","6.2","7","","3","","1","5","1.200","9.45","","1.35","6.75","5.0000","","NO"
"113","2003-04","25","1","0","1.0000","0.00","6","0","0","","0","3.2","1","","0","","1","5","0.545","2.45","","2.45","12.27","5.0000","","NO"
"114","2003-04","21","1","0","1.0000","5.68","6","0","0","","0","6.1","5","","4","","2","4","1.105","7.11","","2.84","5.68","2.0000","","NO"
"115","2003-04","30","0","0","","15.43","4","0","0","","0","2.1","4","","4","","3","3","3.000","15.43","","11.57","11.57","1.0000","","NO"
