"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda",,
2784,"NA","2022-23","18/11/2022",1,"Aguilas del Zulia","RF-CF",7,"Jackson Chourio ",4,0,1,0,0,0,0,0,0,1,0.256,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714416,"day"
2785,"herjas001","2022-23","18/11/2022",1,"Aguilas del Zulia","C",8,"Jose Herrera ",3,1,0,0,0,0,0,1,0,1,0.228,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714416,"day"
2786,"NA","2022-23","18/11/2022",1,"Aguilas del Zulia","2B",9,"Bryant Flete ",2,0,0,0,0,0,0,1,1,0,0.367,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714416,"day"
2787,"NA","2022-23","18/11/2022",1,"Leones del Caracas","2B",1,"Wilfredo Tovar ",5,1,2,1,0,0,1,0,1,2,0.329,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2788,"NA","2022-23","18/11/2022",1,"Leones del Caracas","SS",2,"Lenyn Sosa ",4,0,0,0,0,0,0,0,3,2,0.279,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2789,"NA","2022-23","18/11/2022",1,"Leones del Caracas","CF",3,"José Rondón ",2,0,1,0,0,0,0,2,0,0,0.342,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2790,"NA","2022-23","18/11/2022",1,"Leones del Caracas","1B",4,"Isaias Tejeda ",3,0,0,0,0,0,0,1,0,3,0.31,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2791,"NA","2022-23","18/11/2022",1,"Leones del Caracas","LF",5,"Alexander Palma ",4,0,1,0,0,0,1,0,0,2,0.276,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2792,"NA","2022-23","18/11/2022",1,"Leones del Caracas","C",6,"Jhonny Pereda ",4,0,0,0,0,0,0,0,0,2,0.378,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2793,"NA","2022-23","18/11/2022",1,"Leones del Caracas","DH",7,"Leandro Cedeño ",2,1,0,0,0,0,0,2,0,0,0.268,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2794,"NA","2022-23","18/11/2022",1,"Leones del Caracas","RF",8,"Oswaldo Arcia ",4,0,1,0,0,0,0,0,2,2,0.171,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2795,"NA","2022-23","18/11/2022",1,"Leones del Caracas","3B",9,"Gabriel Noriega ",4,0,1,0,0,0,0,0,0,2,0.32,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714364,"night"
2796,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",3,1,1,0,0,0,0,1,2,0,0.327,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2797,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","SS",2,"Jermaine Palacios ",3,1,1,0,0,1,2,1,0,2,0.433,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2798,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","1B",3,"Rangel Ravelo ",3,1,1,1,0,0,0,1,0,1,0.364,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2799,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","DH",4,"Kennys Vargas ",3,0,0,0,0,0,0,0,0,2,0.294,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2800,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","RF",5,"Hernán Pérez ",3,1,1,0,0,1,2,1,0,2,0.26,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2801,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","LF",6,"Odúbel Herrera ",4,0,1,1,0,0,0,0,1,2,0.286,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2802,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","CF",7,"Gorkys Hernández ",4,0,1,0,0,0,0,0,3,3,0.216,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2803,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","3B",8,"Juniel Querecuto ",4,0,0,0,0,0,0,0,2,4,0.281,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2804,"NA","2022-23","18/11/2022",1,"Cardenales de Lara","C",9,"Ali Sánchez ",4,1,1,0,0,0,0,0,0,1,0.22,"Estadio Antonio Herrera Gutierrez","Leones del Caracas","regular",714364,"night"
2805,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","CF",1,"Tomo Otosaka ",4,0,3,0,0,0,0,1,0,0,0.353,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2806,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","2B",2,"Breyvic Valera ",5,0,0,0,0,0,0,0,0,6,0.206,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2807,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","3B",3,"Edgar Duran ",5,0,0,0,0,0,0,0,2,4,0.278,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2808,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","DH",4,"Diego Rincones ",4,1,1,0,0,1,1,0,0,2,0.333,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2809,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","1B",5,"David Rodríguez ",4,1,2,0,1,1,1,0,1,0,0.312,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2810,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","RF",6,"Ramón Flores ",3,1,1,0,0,0,0,1,0,0,0.219,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2811,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","LF",7,"Luis Castro ",4,0,0,0,0,0,0,0,3,3,0.255,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2812,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","C",8,"Juan Graterol ",3,1,2,0,1,0,1,0,0,0,0.333,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2813,"NA","2022-23","18/11/2022",1,"Bravos de Margarita","SS",9,"Heiker Meneses ",4,0,1,1,0,0,1,0,3,1,0.205,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714335,"night"
2814,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","RF",1,"Ricardo Méndez ",1,0,0,0,0,0,0,0,1,0,0.286,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2815,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","PH-RF",,"a-Eduardo Diaz ",2,0,0,0,0,0,1,0,1,0,0.171,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2816,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","2B",2,"Andruw Monasterio ",3,1,0,0,0,0,0,1,1,1,0.296,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2817,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","3B",3,"Niuman Romero ",4,0,0,0,0,0,0,0,0,1,0.25,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2818,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","1B",4,"Asdrúbal Cabrera ",4,0,2,0,0,0,0,0,0,0,0.305,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2819,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","PR",,"1-Kevin Vicuña ",0,1,0,0,0,0,0,0,0,0,0.136,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2820,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","SS",5,"Diego Castillo ",3,0,2,1,0,0,1,1,0,1,0.256,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2821,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","DH",6,"Balbino Fuenmayor ",4,0,0,0,0,0,0,0,0,5,0.211,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2822,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","PR",,"2-Roberto Chirinos ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2823,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","LF",7,"Willians Astudillo ",4,1,2,0,0,0,1,0,0,1,0.291,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2824,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","C",8,"Jesús Sucre ",4,0,1,1,0,0,0,0,0,2,0.259,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2825,"NA","2022-23","18/11/2022",1,"Caribes de Anzoategui","CF",9,"Herlis Rodriguez ",3,0,0,0,0,0,0,0,1,2,0.194,"Estadio Alfonso Carrasquel","Bravos de Margarita","regular",714335,"night"
2826,"garmai002","2022-23","18/11/2022",1,"Tiburones de la Guaira","SS",1,"Maikel Garcia ",4,0,0,0,0,0,0,1,1,2,0.306,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2827,"adrehi001","2022-23","18/11/2022",1,"Tiburones de la Guaira","3B",2,"Ehire Adrianza ",2,0,0,0,0,0,0,2,0,1,0.216,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2828,"barfra001","2022-23","18/11/2022",1,"Tiburones de la Guaira","LF",3,"Franklin Barreto ",4,0,0,0,0,0,0,0,2,3,0.329,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2829,"cascar001","2022-23","18/11/2022",1,"Tiburones de la Guaira","1B",4,"Carlos Castro ",2,0,0,0,0,0,0,2,0,1,0.286,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2830,"vasdan001","2022-23","18/11/2022",1,"Tiburones de la Guaira","RF",5,"Danry Vasquez ",2,0,0,0,0,0,0,2,1,3,0.233,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2831,"pinisr001","2022-23","18/11/2022",1,"Tiburones de la Guaira","C",6,"Israel Pineda ",4,0,1,0,0,0,0,0,2,4,0.211,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2832,"sanyol001","2022-23","18/11/2022",1,"Tiburones de la Guaira","2B",7,"Carlos Sanchez ",4,0,1,0,0,0,0,0,1,5,0.245,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2833,"aguang001","2022-23","18/11/2022",1,"Tiburones de la Guaira","DH",8,"Angel Aguilar ",3,0,0,0,0,0,0,1,0,1,0.182,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2834,"cedlor001","2022-23","18/11/2022",1,"Tiburones de la Guaira","CF",9,"Lorenzo Cedrola ",3,0,0,0,0,0,0,0,0,3,0.133,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2835,"duesam001","2022-23","18/11/2022",1,"Tiburones de la Guaira","PH",,"Samir Dueñez ",1,0,0,0,0,0,0,0,1,0,0.231,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714227,"night"
2836,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","CF",1,"Teodoro Martinez ",3,1,2,0,0,0,1,0,0,0,0.2,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2837,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","DH",2,"Henry Alejandro Rodriguez ",4,0,2,0,0,0,1,0,0,0,0.314,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2838,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","2B",3,"Alexi Amarista ",3,0,1,0,0,0,0,1,0,4,0.313,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2839,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","RF",4,"José Martínez ",4,0,1,0,0,0,1,0,0,3,0.342,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2840,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","RF",,"Carlos Duran ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2841,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","C",5,"Wilson Ramos ",4,1,1,0,0,1,1,0,0,2,0.319,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2842,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","3B",6,"Carlos Rivero ",3,0,1,0,0,0,0,1,0,0,0.311,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2843,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","1B",7,"Alberto Callaspo ",3,1,2,0,0,0,0,1,0,1,0.353,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2844,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","LF",8,"Josmar Cordero ",3,0,1,0,0,0,0,0,2,1,0.31,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2845,"NA","2022-23","18/11/2022",1,"Tigres de Aragua","SS",9,"Humberto Arteaga ",2,2,0,0,0,0,0,2,0,4,0.121,"Estadio Jose Perez Colmenares","Tiburones de La Guaira","regular",714227,"night"
2846,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","2B",1,"Ali Castillo ",5,1,2,0,0,0,0,0,0,1,0.271,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2847,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","LF",2,"Bryant Flete ",3,1,1,0,0,0,0,2,1,4,0.365,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2848,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","RF-1B",3,"Angel Reyes ",4,1,1,0,0,0,1,1,1,3,0.292,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2849,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","DH",4,"Wilin Rosario ",5,0,1,0,0,0,2,0,2,4,0.262,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2850,"herjas001","2022-23","19/11/2022",1,"Aguilas del Zulia","C",5,"Jose Herrera ",5,0,2,1,0,0,2,0,1,1,0.242,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2851,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","RF",,"Alex Romero ",0,0,0,0,0,0,0,0,0,0,0.238,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2852,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","CF",6,"Kenedy Corona ",4,0,0,0,0,0,0,0,2,4,0.222,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2853,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","1B",7,"Jesus Chirinos ",2,0,1,0,0,0,0,1,0,0,0.286,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2854,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","1B-C",,"Héctor Sánchez ",1,0,0,0,0,0,0,0,0,1,0.265,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2855,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","3B",8,"Cesar Valera ",4,1,1,0,0,0,0,0,2,2,0.12,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2856,"NA","2022-23","19/11/2022",1,"Aguilas del Zulia","SS",9,"Deiner Lopez ",4,1,1,0,0,0,0,0,2,1,0.204,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",714358,"day"
2857,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",5,1,3,0,0,0,1,0,0,1,0.35,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2858,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","SS",2,"Jermaine Palacios ",3,1,2,0,0,0,0,2,0,1,0.455,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2859,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","1B",3,"Rangel Ravelo ",5,1,2,0,0,0,1,0,0,3,0.368,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2860,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","DH",4,"Kennys Vargas ",3,0,1,0,0,0,1,0,1,1,0.296,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2861,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","3B-RF",5,"Hernán Pérez ",2,0,0,0,0,0,2,1,0,0,0.25,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2862,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","RF",6,"Pedro Castellanos ",3,0,0,0,0,0,0,0,0,4,0.29,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2863,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","3B",,"Juniel Querecuto ",0,0,0,0,0,0,0,0,0,0,0.281,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2864,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","CF",7,"Gorkys Hernández ",3,1,1,1,0,0,0,1,0,0,0.222,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2865,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","LF",8,"Jecksson Flores ",4,1,1,0,0,0,0,0,0,2,0.216,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2866,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","C",9,"Yojhan Quevedo ",2,0,1,0,0,0,1,0,0,0,0.238,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2867,"NA","2022-23","19/11/2022",1,"Cardenales de Lara","PH",,"a-Javier Sanoja ",1,1,1,0,0,0,0,0,0,0,0.333,"Estadio Antonio Herrera Gutierrez","Aguilas del Zulia","regular",714358,"day"
2868,"NA","2022-23","19/11/2022",1,"Leones del Caracas","2B",1,"Wilfredo Tovar ",5,1,1,0,0,0,0,0,0,0,0.322,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2869,"NA","2022-23","19/11/2022",1,"Leones del Caracas","C",2,"Freddy Fermin ",5,1,3,0,1,0,2,0,0,0,0.391,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2870,"NA","2022-23","19/11/2022",1,"Leones del Caracas","CF-LF",3,"José Rondón ",4,0,1,0,0,0,1,0,1,2,0.337,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2871,"NA","2022-23","19/11/2022",1,"Leones del Caracas","LF",,"Juan Infante ",0,1,0,0,0,0,0,0,0,0,0.267,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2872,"NA","2022-23","19/11/2022",1,"Leones del Caracas","LF-1B",4,"Isaias Tejeda ",2,1,0,0,0,0,0,2,0,2,0.302,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2873,"NA","2022-23","19/11/2022",1,"Leones del Caracas","1B",,"Wilfredo Gimenez ",1,0,1,0,0,0,0,0,0,0,0.375,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2874,"NA","2022-23","19/11/2022",1,"Leones del Caracas","PR-RF",,"2-Angel Aponte ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2875,"NA","2022-23","19/11/2022",1,"Leones del Caracas","DH",5,"Jhonny Pereda ",4,0,1,0,0,0,1,1,0,5,0.366,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2876,"NA","2022-23","19/11/2022",1,"Leones del Caracas","SS",6,"Lenyn Sosa ",5,0,2,0,0,0,1,0,1,1,0.286,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2877,"NA","2022-23","19/11/2022",1,"Leones del Caracas","1B",7,"Leandro Cedeño ",3,0,0,0,0,0,0,1,0,3,0.257,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2878,"NA","2022-23","19/11/2022",1,"Leones del Caracas","PR-CF",,"1-Alexfri Planez ",1,0,0,0,0,0,0,0,0,1,0.087,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2879,"NA","2022-23","19/11/2022",1,"Leones del Caracas","RF-1B",8,"Alexander Palma ",3,1,0,0,0,0,0,1,0,1,0.266,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2880,"NA","2022-23","19/11/2022",1,"Leones del Caracas","3B",9,"Gabriel Noriega ",4,1,1,0,0,0,0,0,1,1,0.316,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",714275,"night"
2881,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","SS",1,"Edwin Garcia ",5,0,1,0,0,0,1,0,1,1,0.371,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2882,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","3B",2,"Alberto Gonzalez ",2,1,1,0,0,0,0,2,0,0,0.34,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2883,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","PR-2B",,"1-Ricardo Paolini ",0,0,0,0,0,0,0,0,0,0,0.4,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2884,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","RF",3,"Maikel Serrano ",5,0,0,0,0,0,0,0,2,5,0.29,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2885,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","1B",4,"Renato Núñez ",4,1,1,0,0,0,0,0,1,1,0.258,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2886,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","LF",5,"Alberth Martinez ",4,1,2,0,0,0,1,0,1,2,0.364,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2887,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","CF",6,"Rainel Rosario ",4,0,1,1,0,0,2,0,1,1,0.25,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2888,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","DH",7,"Arturo Nieto ",4,0,1,1,0,0,0,0,1,2,0.314,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2889,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","PR-DH",,"2-Lazaro Hernandez ",0,1,0,0,0,0,0,0,0,0,0.268,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2890,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","C",8,"Robinson Chirinos ",3,0,0,0,0,0,0,0,1,0,0.056,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2891,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","PH",,"a-Daniel Mayora ",1,0,1,0,0,0,1,0,0,0,0.196,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2892,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","C",,"Luis Alvarez ",0,0,0,0,0,0,0,0,0,0,0.25,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2893,"NA","2022-23","19/11/2022",1,"Navegantes del Magallanes","2B-3B",9,"Rayder Ascanio ",4,1,1,0,0,0,0,0,1,1,0.28,"Estadio Jose Bernardo Perez","Leones del Caracas","regular",714275,"night"
2894,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","RF",1,"Teodoro Martinez ",4,0,0,0,0,0,0,0,1,3,0.167,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2895,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","DH",2,"Henry Alejandro Rodriguez ",4,0,1,0,0,0,1,0,0,1,0.311,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2896,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","2B",3,"Alexi Amarista ",3,1,0,0,0,0,0,1,0,2,0.301,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2897,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","LF",4,"José Martínez ",2,0,0,0,0,0,0,2,0,0,0.333,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2898,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","C",5,"Wilson Ramos ",4,0,1,0,0,0,0,0,0,3,0.314,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2899,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","3B",6,"Carlos Rivero ",4,0,2,1,0,0,1,0,0,2,0.323,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2900,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","1B",7,"Alberto Callaspo ",3,1,0,0,0,0,0,1,0,3,0.3,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2901,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","CF",8,"Carlos Tocci ",4,2,3,0,0,1,1,0,0,1,0.261,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2902,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","SS",9,"Humberto Arteaga ",2,0,0,0,0,0,0,0,2,1,0.114,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2903,"NA","2022-23","19/11/2022",1,"Tigres de Aragua","PH",,"a-Leobaldo Piña ",1,0,0,0,0,0,0,0,0,2,0.2,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714391,"night"
2904,"NA","2022-23","19/11/2022",1,"Bravos de Margarita","CF",1,"Tomo Otosaka ",4,2,2,0,0,0,1,1,0,1,0.36,"Estadio Forum de La Guaira","Tigres de Aragua","regular",714391,"night"
2905,"NA","2022-23","19/11/2022",1,"Bravos de Margarita","DH",2,"Breyvic Valera ",3,1,1,0,0,0,1,1,0,2,0.216,"Estadio Forum de La Guaira","Tigres de Aragua","regular",714391,"night"
2906,"NA","2022-23","19/11/2022",1,"Bravos de Margarita","3B",3,"Edgar Duran ",5,1,3,0,0,0,1,0,1,2,0.299,"Estadio Forum de La Guaira","Tigres de Aragua","regular",714391,"night"
2907,"NA","2022-23","19/11/2022",1,"Bravos de Margarita","LF",4,"Diego Rincones ",5,0,1,0,0,0,1,0,0,5,0.324,"Estadio Forum de La Guaira","Tigres de Aragua","regular",714391,"night"
