"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"569","2016-17","M. Minicozzi","33","1","4","4","1","2","0","0","0","0","0","0","0","0",".500",".500",".500","1.000","1.0","2","0","0","0","0","NO"
"570","2008-09","M. Montero","25","10","42","37","5","12","0","0","2","6","2","0","4","7",".324",".381",".486",".867","6.9","18","2","0","0","1","SI"
"571","2003-04","M. Pernalete","25","3","","3","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"572","1989-90","M. Petkovsek","24","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"573","1976-77","M. Ramírez","26","4","","13","1","6","0","0","1","8","0","","","",".462","",".692",".000","","9","1","","","","NO"
"574","2008-09","M. Ramírez","24","2","10","8","0","2","1","0","0","1","0","0","0","5",".250",".400",".375",".775","1.2","3","1","2","0","0","NO"
"575","2014-15","M. Ramírez","24","2","4","4","1","2","0","0","0","1","0","0","0","0",".500",".500",".500","1.000","1.0","2","0","0","0","0","NO"
"576","2016-17","M. Robles","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"577","2007-08","M. Rojas","18","2","4","4","1","2","0","0","0","0","0","0","0","1",".500",".500",".500","1.000","1.0","2","0","0","0","0","NO"
"578","2009-10","M. Rojas","20","3","3","2","0","1","0","0","0","1","0","0","0","0",".500",".667",".500","1.167","0.7","1","0","1","0","0","NO"
"579","2011-12","M. Rojas","22","17","69","58","8","19","2","0","0","3","3","2","7","8",".328",".409",".362",".771","8.6","21","2","1","3","0","NO"
"580","2014-15","M. Rojas","25","8","28","26","2","8","0","0","0","1","2","0","1","3",".308",".333",".308",".641","2.7","8","0","0","1","0","NO"
"581","2003-04","M. Romano","31","2","","","","","","","","","","","","","","","","","","","","","","","SI"
"582","1981-82","M. Witt","21","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"583","1983-84","M. Witt","23","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"584","2009-10","M. Yépez","28","4","11","9","2","3","1","0","0","1","0","0","2","2",".333",".455",".444",".899","1.8","4","1","0","0","0","NO"
"585","2007-08","N. Acosta","24","3","","","","","","","","","","","","","","","","","","","","","","","NO"
