"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"1","2014-15","A. Aceves","32","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"2","1989-90","A. Álvarez","19","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"3","2003-04","A. Álvarez","24","15","","60","10","12","0","0","4","7","1","","","",".200","",".400",".000","","24","4","","","","NO"
"4","2011-12","A. Bastardo","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"5","1965-66","A. Bravo","23","6","","27","2","5","0","0","0","0","0","","","",".185","",".185",".000","","5","0","","","","NO"
"6","1966-67","A. Bravo","24","6","","27","7","10","1","1","2","6","0","","","",".370","",".704",".000","","19","4","","","","NO"
"7","1969-70","A. Bravo","27","4","","14","3","3","1","0","0","2","1","","","",".214","",".286",".000","","4","1","","","","NO"
"8","1970-71","A. Bravo","28","3","","12","4","6","1","0","0","0","1","","","",".500","",".583",".000","","7","1","","","","NO"
"9","1971-72","A. Bravo","29","4","","3","2","1","1","0","0","0","0","","","",".333","",".667",".000","","2","1","","","","NO"
"10","1972-73","A. Bravo","30","3","","9","0","2","0","0","0","0","0","","","",".222","",".222",".000","","2","0","","","","NO"
"11","1974-75","A. Bravo","32","5","","18","1","5","0","0","0","0","0","","","",".278","",".278",".000","","5","0","","","","NO"
"12","1976-77","A. Bravo","34","4","","17","3","4","0","0","0","3","2","","","",".235","",".235",".000","","4","0","","","","NO"
"13","1977-78","A. Bravo","35","6","","21","5","6","1","0","0","0","1","","","",".286","",".333",".000","","7","1","","","","NO"
"14","1974-75","A. Bumbry","27","3","","12","2","6","2","1","0","0","0","","","",".500","",".833",".000","","10","3","","","","NO"
"15","2007-08","A. Cabrera","36","15","67","54","10","20","4","0","3","11","0","0","11","14",".370",".478",".611","1.089","15.8","33","7","1","0","1","SI"
"16","2011-12","A. Cabrera","40","17","74","60","16","20","2","0","5","15","1","0","13","14",".333",".459",".617","1.076","17.0","37","7","1","0","0","NO"
"17","2013-14","A. Cabrera","42","16","70","51","5","16","4","0","1","16","0","0","15","7",".314",".486",".451",".937","11.2","23","5","3","0","1","NO"
"18","2014-15","A. Cabrera","43","16","67","61","7","15","1","0","4","10","0","0","6","11",".246",".313",".459",".772","8.8","28","5","0","0","0","NO"
"19","2015-16","A. Cabrera","44","13","58","52","5","15","2","0","2","12","0","0","3","13",".288",".328",".442",".770","7.5","23","4","1","0","2","NO"
"20","2015-16","A. Candelario","33","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"21","2009-10","A. Castillo","39","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"22","2009-10","A. Cazana","35","2","8","7","0","0","0","0","0","0","0","0","1","0",".000",".125",".000",".125","0.0","0","0","0","0","0","NO"
"23","2007-08","A. Colina","26","7","24","22","1","7","1","0","1","2","1","1","1","8",".318",".375",".500",".875","4.1","11","2","1","0","0","NO"
"24","2008-09","A. Colina","27","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"25","2000-01","A. Conde","34","6","","","","","","","","","","","","","","","","","","","","","","","SI"
"26","1982-83","A. Cordova","21","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"27","1984-85","A. Cordova","23","3","","6","2","3","0","0","0","2","0","","","",".500","",".500",".000","","3","0","","","","NO"
"28","1985-86","A. Cordova","24","2","","6","0","3","0","0","0","2","0","","","",".500","",".500",".000","","3","0","","","","NO"
"29","1970-71","A. Correa","22","1","","1","0","0","0","0","0","1","0","","","",".000","",".000",".000","","0","0","","","","NO"
"30","1971-72","A. Correa","23","4","","1","1","1","0","0","0","1","0","","","","1.000","","1.000",".000","","1","0","","","","NO"
"31","1972-73","A. Correa","24","2","","2","1","1","0","0","0","0","0","","","",".500","",".500",".000","","1","0","","","","NO"
"32","1974-75","A. Correa","26","2","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"33","1976-77","A. Correa","28","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"34","2014-15","A. Escobar","28","6","23","23","5","7","1","0","1","6","0","0","0","3",".304",".304",".478",".783","3.3","11","2","0","0","0","NO"
"35","2016-17","A. Escobar","30","9","36","36","5","10","3","0","2","4","0","0","0","6",".278",".278",".528",".806","5.3","19","5","0","0","0","NO"
"36","1984-85","A. Espinoza","19","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"37","1985-86","A. Espinoza","20","3","","7","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"38","1972-73","A. Fitzmorris","26","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"39","2007-08","A. Freire","33","3","3","2","0","0","0","0","0","0","0","0","1","1",".000",".333",".000",".333","0.0","0","0","0","0","0","NO"
"40","2011-12","A. Galarraga","29","4","","","","","","","","","","","","","","","","","","","","","","","SI"
"41","2014-15","A. Gerdel","21","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"42","2014-15","A. González","31","15","68","66","9","24","5","1","0","5","1","0","1","7",".364",".368",".470",".837","11.4","31","6","0","0","1","SI"
"43","2015-16","A. González","32","13","63","57","7","14","0","0","0","7","0","0","3","4",".246",".283",".246",".529","4.0","14","0","0","3","0","NO"
"44","2016-17","A. González","33","11","46","43","1","9","0","0","1","5","0","1","2","4",".209",".244",".279",".524","2.9","12","1","0","1","0","NO"
"45","1977-78","A. Griffint","0","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"46","2016-17","A. Harris","27","12","48","39","7","8","1","0","0","2","2","3","8","9",".205",".354",".231",".585","3.2","9","1","1","0","0","NO"
"47","2000-01","A. Hazlet","25","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"48","1984-85","A. Hernández","30","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"49","1985-86","A. Hernández","31","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"50","1986-87","A. Hernández","32","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"51","1989-90","A. Hernández","35","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"52","2008-09","A. Herrera","29","7","","","","","","","","","","","","","","","","","","","","","","","SI"
"53","2014-15","A. Herrera","21","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"54","2016-17","A. Herrera","23","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"55","2000-01","A. Levrault","23","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"56","1972-73","A. Liscano","0","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"57","2014-15","A. Mavare","24","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"58","2016-17","A. Mavare","26","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"59","1969-70","A. Monteagudo","26","2","","3","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"60","1970-71","A. Monteagudo","27","1","","3","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"61","1971-72","A. Monteagudo","28","2","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"62","1977-78","A. Monteagudo","34","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"63","1981-82","A. Monteagudo","38","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"64","2011-12","A. Morales","22","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"65","2013-14","A. Nieves","28","9","29","25","1","5","1","0","0","2","0","0","4","6",".200",".310",".240",".550","1.9","6","1","0","0","0","NO"
"66","2014-15","A. Nieves","29","7","11","9","1","4","1","1","0","1","0","0","2","2",".444",".545",".778","1.323","3.8","7","2","0","0","0","NO"
"67","2016-17","A. Noguera","28","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"68","2007-08","A. Ortega","22","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"69","2011-12","A. Ortega","26","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"70","1965-66","A. Ortiz","20","3","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"71","1980-81","A. Pedrique","20","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"72","1984-85","A. Pedrique","24","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"73","1985-86","A. Pedrique","25","6","","23","5","8","0","0","0","1","0","","","",".348","",".348",".000","","8","0","","","","NO"
"74","1986-87","A. Pedrique","26","5","","19","3","9","1","0","0","2","1","","","",".474","",".526",".000","","10","1","","","","NO"
"75","1988-89","A. Pedrique","28","12","","30","3","4","0","0","0","1","0","","","",".133","",".133",".000","","4","0","","","","NO"
"76","1966-67","A. Phillips","25","6","","26","4","6","1","0","1","4","0","","","",".231","",".385",".000","","10","2","","","","NO"
"77","2008-09","A. Rodríguez","16","6","3","3","1","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"78","2009-10","A. Rodríguez","17","1","4","4","0","1","0","0","0","1","0","0","0","0",".250",".250",".250",".500","0.3","1","0","0","0","0","NO"
"79","1981-82","A. Salazar","20","3","","10","0","1","0","0","0","0","0","","","",".100","",".100",".000","","1","0","","","","NO"
"80","1982-83","A. Salazar","21","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"81","1983-84","A. Salazar","22","6","","20","0","2","0","0","0","1","0","","","",".100","",".100",".000","","2","0","","","","NO"
"82","1984-85","A. Salazar","23","6","","21","1","4","1","1","0","4","0","","","",".190","",".333",".000","","7","2","","","","NO"
"83","1985-86","A. Salazar","24","6","","20","3","8","1","0","0","3","0","","","",".400","",".450",".000","","9","1","","","","NO"
"84","1986-87","A. Salazar","25","3","","11","1","3","1","0","0","2","0","","","",".273","",".364",".000","","4","1","","","","NO"
"85","2008-09","A. Serrano","27","3","","","","","","","","","","","","","","","","","","","","","","","SI"
"86","2016-17","A. Torres","21","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"87","2007-08","A. Tovar","29","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"88","1979-80","A. Williams","25","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"89","1980-81","A. Williams","26","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"90","1981-82","A. Williams","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"91","1982-83","A. Williams","28","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"92","1984-85","B. Benton","27","5","","18","3","9","1","1","0","2","0","","","",".500","",".667",".000","","12","2","","","","NO"
"93","1982-83","B. Bochy","27","6","","21","4","8","2","1","1","3","0","","","",".381","",".714",".000","","15","4","","","","NO"
"94","1983-84","B. Bochy","28","6","","18","2","7","1","0","0","3","0","","","",".389","",".444",".000","","8","1","","","","NO"
"95","1965-66","B. Brandon","25","5","","5","1","1","0","0","1","2","0","","","",".200","",".800",".000","","4","1","","","","NO"
"96","1982-83","B. Brown","28","5","","16","2","4","1","0","1","2","0","","","",".250","",".500",".000","","8","2","","","","NO"
"97","1965-66","B. Burda","27","6","","20","0","2","0","0","0","1","0","","","",".100","",".100",".000","","2","0","","","","NO"
"98","2015-16","B. Burgamy","34","13","56","43","7","14","4","0","3","12","0","0","13","10",".326",".482",".628","1.110","13.0","27","7","0","0","0","NO"
"99","1972-73","B. Butler","25","2","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","SI"
"100","1982-83","B. Clark","26","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"101","1983-84","B. Clark","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"102","1984-85","B. Clark","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"103","1985-86","B. Clark","29","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"104","2013-14","B. Cramer","34","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"105","1966-67","B. Faul","26","4","","5","2","2","1","0","0","0","0","","","",".400","",".600",".000","","3","1","","","","NO"
"106","1986-87","B. Fields","26","5","","17","1","5","0","0","0","1","2","","","",".294","",".294",".000","","5","0","","","","NO"
"107","1982-83","B. Gaff","24","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"108","1979-80","B. Galasso","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"109","1980-81","B. Harper","21","6","","23","0","6","0","0","0","2","0","","","",".261","",".261",".000","","6","0","","","","NO"
"110","2000-01","B. Jacobsen","25","3","","8","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"111","1976-77","B. Johnson","33","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"112","1981-82","B. Johnson","22","4","","10","0","1","1","0","0","0","0","","","",".100","",".200",".000","","2","1","","","","NO"
"113","1980-81","B. Kingman","26","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"114","1983-84","B. Lee","37","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"115","1979-80","B. Martínez","31","7","","20","2","7","3","0","0","3","0","","","",".350","",".500",".000","","10","3","","","","NO"
"116","2007-08","B. Puffer","32","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"117","2003-04","B. Pulsipher","30","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"118","2000-01","B. Scanlan","34","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"119","2013-14","B. Suero","23","9","","","","","","","","","","","","","","","","","","","","","","","SI"
"120","2011-12","B. Sweeney","37","4","","","","","","","","","","","","","","","","","","","","","","","SI"
"121","2013-14","B. Valera","21","4","12","12","6","7","1","0","0","3","0","0","0","1",".583",".583",".667","1.250","4.7","8","1","0","0","0","SI"
"122","2015-16","C. Arroyo","22","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","NO"
"123","1989-90","C. Beasley","27","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"124","2014-15","C. Colmenares","28","3","4","4","1","1","0","0","0","0","0","0","0","0",".250",".250",".250",".500","0.3","1","0","0","0","0","NO"
"125","2015-16","C. Colmenares","29","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"126","2000-01","C. Colon","31","13","","42","2","8","1","0","0","4","0","","","",".190","",".214",".000","","9","1","","","","NO"
"127","2003-04","C. Colon","34","5","","15","1","2","0","0","0","2","0","","","",".133","",".133",".000","","2","0","","","","NO"
"128","1991-92","C. Curtis","23","11","","40","5","14","2","1","0","6","2","","","",".350","",".450",".000","","18","3","","","","NO"
"129","2003-04","C. Duran","21","4","","3","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"130","1976-77","C. Gaston","32","2","","8","1","3","1","0","0","4","0","","","",".375","",".500",".000","","4","1","","","","NO"
"131","2007-08","C. González","21","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"132","2016-17","C. Guevara","22","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"133","2016-17","C. Herrera","20","4","2","2","0","1","0","0","0","1","1","0","0","0",".500",".500",".500","1.000","0.5","1","0","0","0","0","NO"
"134","1977-78","C. Hurdle","20","6","","17","4","4","1","0","2","10","0","","","",".235","",".647",".000","","11","3","","","","NO"
"135","1979-80","C. Hurdle","22","7","","21","2","1","0","0","0","0","0","","","",".048","",".048",".000","","1","0","","","","NO"
"136","1983-84","C. Hurdle","26","6","","20","1","4","1","0","1","3","0","","","",".200","",".400",".000","","8","2","","","","NO"
"137","2000-01","C. Jones","35","12","","45","7","14","1","1","0","5","2","","","",".311","",".378",".000","","17","2","","","","NO"
"138","2014-15","C. Kimball","29","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"139","1988-89","C. Kreuter","24","12","","34","4","9","0","0","1","3","0","","","",".265","",".353",".000","","12","1","","","","NO"
"140","2016-17","C. Marrero","30","4","17","15","2","3","0","0","1","3","0","0","2","6",".200",".294",".400",".694","1.8","6","1","0","0","0","NO"
"141","1986-87","C. Martínez","21","2","","7","0","1","0","0","0","0","0","","","",".143","",".143",".000","","1","0","","","","NO"
"142","1988-89","C. Martínez","23","12","","46","5","11","1","0","1","4","1","","","",".239","",".326",".000","","15","2","","","","NO"
"143","1989-90","C. Martínez","24","12","","44","7","13","2","1","0","7","1","","","",".295","",".386",".000","","17","3","","","","NO"
"144","1986-87","C. McMurtry","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"145","2000-01","C. Mendoza","21","9","","33","6","5","1","0","0","1","0","","","",".152","",".182",".000","","6","1","","","","NO"
"146","2003-04","C. Mendoza","24","4","","10","2","4","0","1","0","1","0","","","",".400","",".600",".000","","6","1","","","","NO"
"147","1970-71","C. Moreno","23","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"148","1972-73","C. Moreno","25","2","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"149","1965-66","C. Motton","24","6","","23","4","7","0","1","1","2","0","","","",".304","",".522",".000","","12","2","","","","NO"
"150","1972-73","C. Pascual","38","3","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"151","2013-14","C. Retherford","28","16","64","56","12","14","4","0","0","11","0","0","4","10",".250",".328",".321",".650","5.9","18","4","3","0","1","NO"
"152","2000-01","C. Rodríguez","21","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"153","1965-66","C. Ruíz","27","6","","23","3","6","2","0","0","2","0","","","",".261","",".348",".000","","8","2","","","","NO"
"154","1966-67","C. Ruíz","28","6","","21","2","6","0","1","0","1","0","","","",".286","",".381",".000","","8","1","","","","NO"
"155","1974-75","C. Salas","24","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"156","2013-14","C. Santeliz","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"157","1991-92","C. Scott","0","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"158","2008-09","C. Suarez","25","8","21","20","2","5","0","0","0","1","0","0","0","6",".250",".250",".250",".500","1.3","5","0","0","1","0","NO"
"159","2009-10","C. Suarez","26","15","66","61","8","16","5","1","1","6","3","0","4","10",".262",".303",".426",".729","7.9","26","7","0","0","1","NO"
"160","2011-12","C. Suarez","28","14","60","58","10","21","6","1","1","6","1","2","1","7",".362",".373",".552",".925","11.9","32","8","0","1","0","NO"
"161","2013-14","C. Suarez","30","16","64","61","9","22","7","0","2","8","1","0","2","8",".361",".375",".574",".949","13.1","35","9","0","0","1","NO"
"162","2014-15","C. Suarez","31","16","68","64","5","21","5","0","0","6","0","1","4","7",".328",".368",".406",".774","9.6","26","5","0","0","0","NO"
"163","2015-16","C. Suarez","32","10","38","29","6","6","3","0","0","1","0","0","6","1",".207",".378",".310",".689","3.4","9","3","2","1","0","NO"
"164","1981-82","C. Welsh","26","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"165","1989-90","C. Young","25","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"166","1991-92","C. Young","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"167","1974-75","D. Baker","25","5","","19","3","4","1","1","0","2","0","","","",".211","",".368",".000","","7","2","","","","NO"
"168","1974-75","D. Bird","24","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"169","1972-73","D. Blanco","31","6","","22","1","4","1","0","0","1","0","","","",".182","",".227",".000","","5","1","","","","SI"
"170","1985-86","D. Boston","22","6","","22","4","5","0","2","0","4","0","","","",".227","",".409",".000","","9","2","","","","NO"
"171","2003-04","D. Brinkley","35","4","","9","0","2","1","0","0","2","0","","","",".222","",".333",".000","","3","1","","","","NO"
"172","1983-84","D. Brown","28","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"173","1991-92","D. Delcine","18","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"174","1981-82","D. Edwards","27","3","","11","0","2","0","0","0","1","0","","","",".182","",".182",".000","","2","0","","","","NO"
"175","1980-81","D. García","26","6","","19","4","3","1","0","0","1","0","","","",".158","",".211",".000","","4","1","","","","NO"
"176","1979-80","D. Graham","25","7","","24","2","5","1","0","1","5","0","","","",".208","",".375",".000","","9","2","","","","NO"
"177","1980-81","D. Graham","26","4","","13","0","1","0","0","0","0","0","","","",".077","",".077",".000","","1","0","","","","NO"
"178","2016-17","D. Hurtado","24","1","","","","","","","","","","","","","","","","","","","","","","","SI"
"179","1989-90","D. Lynch","24","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"180","1976-77","D. May","33","4","","14","5","6","3","0","0","1","1","","","",".429","",".643",".000","","9","3","","","","NO"
"181","1985-86","D. Miller","27","2","","7","0","1","0","0","0","0","0","","","",".143","",".143",".000","","1","0","","","","NO"
"182","1983-84","D. Moore","29","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"183","1976-77","D. Murphy","0","3","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"184","2007-08","D. Navarro","23","9","33","28","4","9","2","0","1","3","0","1","4","6",".321",".406",".500",".906","5.7","14","3","0","1","0","NO"
"185","1979-80","D. Norman","24","5","","18","2","7","2","0","1","1","0","","","",".389","",".667",".000","","12","3","","","","NO"
"186","2000-01","D. Pacheco","22","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"187","2003-04","D. Pacheco","25","8","","","","","","","","","","","","","","","","","","","","","","","NO"
"188","2007-08","D. Paisano","20","7","5","4","2","1","0","0","0","1","0","0","1","1",".250",".400",".250",".650","0.4","1","0","0","0","0","NO"
"189","2009-10","D. Paisano","22","11","14","13","2","3","1","0","1","2","0","0","0","1",".231",".231",".538",".769","1.6","7","2","0","1","0","NO"
"190","2011-12","D. Paisano","24","9","14","12","1","3","0","1","0","2","0","0","1","4",".250",".286",".417",".702","1.4","5","1","0","0","1","NO"
"191","1976-77","D. Pole","26","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"192","1980-81","D. Rajsich","29","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"193","1991-92","D. Rambo","25","3","","","","","","","","","","","","","","","","","","","","","","","SI"
"194","2003-04","D. Reina","21","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"195","2007-08","D. Sandoval","28","12","48","45","6","11","4","0","0","6","2","0","1","5",".244",".255",".333",".589","3.8","15","4","0","1","1","NO"
"196","2008-09","D. Sandoval","29","13","48","43","7","11","3","1","0","3","1","1","2","7",".256",".289",".372",".661","4.6","16","4","0","3","0","NO"
"197","2014-15","D. Soriano","32","8","","","","","","","","","","","","","","","","","","","","","","","NO"
"198","1982-83","D. Strawberry","20","6","","17","4","6","1","0","2","3","0","","","",".353","",".765",".000","","13","3","","","","NO"
"199","1982-83","D. Thomas","31","6","","25","4","5","1","0","0","1","0","","","",".200","",".240",".000","","6","1","","","","NO"
"200","2016-17","D. Vázquez","22","12","41","36","5","13","1","0","1","10","3","0","3","6",".361",".439",".472",".911","7.5","17","2","2","0","0","SI"
"201","1985-86","D. Wyatt","0","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"202","2007-08","E. Adrianza","18","2","5","5","0","1","0","0","0","1","0","0","0","1",".200",".200",".200",".400","0.2","1","0","0","0","0","NO"
"203","2008-09","E. Alfonzo","29","6","27","23","3","3","1","0","0","2","0","1","0","5",".130",".222",".174",".396","0.9","4","1","3","0","1","SI"
"204","2003-04","E. Arteaga","22","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"205","2009-10","E. Barrios","21","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"206","2011-12","E. Barrios","23","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"207","2014-15","E. Barrios","26","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"208","1976-77","E. Bass","24","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"209","2008-09","E. Bellorin","26","13","53","48","5","13","2","0","1","5","0","0","4","11",".271",".327",".375",".702","5.9","18","3","0","1","0","NO"
"210","2009-10","E. Bellorin","27","9","23","23","0","1","1","0","0","1","0","0","0","4",".043",".043",".087",".130","0.1","2","1","0","0","0","NO"
"211","2011-12","E. Bellorin","29","11","29","28","5","7","3","0","1","7","0","0","1","10",".250",".276",".464",".740","3.6","13","4","0","0","0","NO"
"212","2013-14","E. Bellorin","31","2","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"213","1982-83","E. Bonaparte","25","5","","20","3","9","1","1","0","1","0","","","",".450","",".600",".000","","12","2","","","","NO"
"214","1966-67","E. Camejo","22","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"215","1972-73","E. Camejo","28","1","","0","1","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"216","1966-67","E. Chacon","30","5","","19","5","8","2","0","0","1","0","","","",".421","",".526",".000","","10","2","","","","NO"
"217","2008-09","E. Chávez","30","17","78","64","9","21","4","0","0","8","6","1","10","8",".328",".413",".391",".804","10.3","25","4","0","3","1","SI"
"218","2013-14","E. Escalona","27","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"219","2014-15","E. Escalona","28","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"220","2015-16","E. Escalona","29","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"221","2016-17","E. Escalona","30","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"222","2009-10","E. Escobar","20","3","4","4","1","1","0","0","0","0","0","0","0","1",".250",".250",".250",".500","0.3","1","0","0","0","0","NO"
"223","2011-12","E. Escobar","22","9","26","25","2","3","0","1","0","0","0","1","0","8",".120",".120",".200",".320","0.6","5","1","0","1","0","NO"
"224","2013-14","E. Figueroa","25","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"225","1984-85","E. Glynn","31","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"226","2000-01","E. González","18","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"227","2003-04","E. González","21","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"228","2007-08","E. González","25","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"229","2008-09","E. González","26","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"230","2009-10","E. González","27","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"231","2011-12","E. González","29","9","","","","","","","","","","","","","","","","","","","","","","","NO"
"232","2013-14","E. González","31","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"233","2014-15","E. González","32","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"234","2015-16","E. González","32","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"235","1966-67","E. Gutierrez","21","1","","0","1","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"236","2016-17","E. Haro","31","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"237","1969-70","E. Hernández","20","4","","18","3","3","0","0","0","3","0","","","",".167","",".167",".000","","3","0","","","","NO"
"238","1970-71","E. Hernández","21","3","","12","5","5","0","0","0","2","1","","","",".417","",".417",".000","","5","0","","","","NO"
"239","1971-72","E. Hernández","22","7","","26","3","7","0","0","0","0","0","","","",".269","",".269",".000","","7","0","","","","NO"
"240","1972-73","E. Hernández","23","6","","27","4","12","1","0","0","0","6","","","",".444","",".481",".000","","13","1","","","","NO"
"241","1974-75","E. Hernández","25","4","","14","0","1","0","0","0","3","0","","","",".071","",".071",".000","","1","0","","","","NO"
"242","2009-10","E. Lizarraga","28","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"243","1985-86","E. Marquez","20","4","","9","0","2","1","0","0","2","0","","","",".222","",".333",".000","","3","1","","","","NO"
"244","1986-87","E. Marquez","21","5","","14","3","1","0","0","0","1","1","","","",".071","",".071",".000","","1","0","","","","NO"
