player_id,years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo ,ronda,resultado
hedmic001,1969-70,M. Hedlund,23,1,0,1,0,1,1,1,,0,9,6,,0,,1,7,,778,6,,1,7,7,,NO,round robin,
henmic001,1986-87,M. Henneman,25,0,0,,0,2,0,0,,0,3.1,1,,0,,2,2,,0.9,2.7,,5.4,5.4,1,,NO,finales,Subcampeon
henmic001,1986-87,M. Henneman,25,2,1,667,4.07,14,1,0,,3,24.1,25,,11,,7,8,84,1315,9.25,,2.59,2.96,1140,,NO,regular,
henmic001,1986-87,M. Henneman,25,1,0,1,2,2,1,0,,0,9,8,,2,,1,7,,1,8,,1,7,7,,NO,round robin,
holmar001,2013-14,M. Hollands,25,0,0,,2.45,8,4,0,0,0,25.2,24,7,7,3,7,23,191,1208,8.42,1.05,2.45,8.06,3290,0,NO,regular,
holmar001,2013-14,M. Hollands,25,0,0,,7.11,2,2,0,0,0,6.1,11,5,5,0,2,3,,2053,15.63,0,2.84,4.26,1.5,0,NO,round robin,
hosmik001,1996-97,M. Hostetler,27,0,4,0,6.98,9,6,0,,0,29.2,44,,23,,6,14,49,1685,13.35,,1.82,4.25,2330,,NO,regular,
huimar001,1990-91,M. Huisman,32,1,1,500,2.4,5,2,2,,0,15,13,,4,,5,9,145,1200,7.8,,3,5.4,1800,,NO,regular,
kekmic001,1976-77,M. Kekich,31,1,1,0.5,1.76,4,2,0,,0,15.1,12,,3,,5,12,,1109,7.04,,2.93,7.04,2.4,,NO,finales,Subcampeon
kekmic001,1976-77,M. Kekich,31,3,3,500,4.6,9,7,1,,0,47,49,,24,,24,29,90,1553,9.38,,4.6,5.55,1210,,NO,regular,
kekmic001,1976-77,M. Kekich,31,0,0,,6.75,1,0,0,,0,1.1,1,,1,,2,1,,2.25,6.75,,13.5,6.75,0.5,,NO,round robin,
,2011-12,M. Klinker,27,0,1,0,3.38,2,2,0,0,0,8,10,3,3,0,4,3,,1.75,11.25,0,4.5,3.38,0.75,0,SI,finales,Subcampeon
lopmar001,1969-70,M. López,26,0,1,0,1.8,1,1,0,,0,5,8,,1,,5,2,,2.6,14.4,,9,3.6,0.4,,NO,finales,Subcampeon
lopmar001,1965-66,M. López,22,1,0,1,1,1,1,1,,0,9,4,,1,,3,4,,778,4,,3,4,1.3333,,NO,finales,Campeon
lopmar001,1970-71,M. López,27,0,4,0,6.56,12,6,0,,0,35.2,33,,26,,41,17,50,2075,8.33,,10.35,4.29,410,,NO,regular,
lopmar001,1969-70,M. López,26,1,3,250,3.33,6,5,1,,0,24.1,20,,9,,18,16,82,1562,7.4,,6.66,5.92,890,,NO,regular,
