years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2012-13,B. Short,24,7,26,25,1,4,3,0,0,3,0,0,0,7,0.16,192,0.28,472,24,1.3,7,3,1,0,0,NO,regular,Eliminado
2012-13,R. Pérez ,23,5,10,9,0,2,0,0,0,0,0,0,0,0,0.22,0.3,222,522,41,0.6,2,0,1,0,0,NO,regular,Eliminado
2012-13,E. Escobar,23,5,20,17,0,2,0,0,0,1,0,0,2,5,0.12,0.25,118,368,1,0.5,2,0,1,0,0,NO,regular,Eliminado
2012-13,W. Giménez,22,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,45,0,0,0,0,0,0,NO,regular,Eliminado
2012-13,H. Meneses,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2011-12,C. Suarez,28,60,247,215,35,75,20,0,6,40,9,6,19,20,0.35,402,526,928,163,45.5,113,26,5,1,7,NO,regular,Eliminado
2011-12,G. Blanco,28,57,252,196,47,66,14,5,4,23,18,7,47,46,0.34,478,0.52,998,184,48.7,102,23,6,3,0,NO,regular,Eliminado
2011-12,O. Salazar,33,61,273,236,42,61,11,0,8,40,3,0,32,43,0.26,344,407,751,113,33,96,19,1,0,4,NO,regular,Eliminado
2011-12,H. Sánchez,22,51,199,177,29,60,10,0,9,39,0,0,18,37,0.34,402,548,0.95,169,39,97,19,2,0,2,NO,regular,Eliminado
2011-12,E. Escobar,22,53,210,184,30,47,8,4,1,19,7,0,19,24,0.26,324,359,682,94,21.4,66,13,0,6,1,NO,regular,Eliminado
2011-12,J. Martínez,23,48,176,159,19,45,10,0,0,18,1,2,11,25,0.28,331,346,677,93,18.2,55,10,2,1,3,NO,regular,Eliminado
2011-12,L. Rodríguez,31,35,142,106,23,32,7,0,1,17,0,1,31,11,0.3,457,396,853,144,19.2,42,8,1,2,2,NO,regular,Eliminado
2011-12,M. Rojas,22,38,112,104,10,31,4,1,0,8,2,1,4,13,0.3,321,356,677,93,11.9,37,5,0,3,1,NO,regular,Eliminado
