years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo
2011-12,Z. Kroenke,27,0,2,0,27,2,2,0,0,0,2.1,11,8,7,1,1,1,5143,42.43,3.86,3.86,3.86,1,0,NO
2009-10,A. Castillo,39,1,0,1,1.93,5,0,0,0,0,4.2,4,1,1,0,0,6,857,7.71,0,0,11.57,,0,NO
2009-10,E. Barrios,21,0,0,,8.1,3,0,0,0,0,3.1,5,3,3,1,2,3,2.1,13.5,2.7,5.4,8.1,1.5,0,NO
2009-10,E. González,27,2,1,0.6667,4.08,4,4,0,0,0,17.2,20,9,8,1,9,11,1642,10.19,0.51,4.58,5.6,1.2222,0,NO
2009-10,E. Lizarraga,28,0,0,,13.5,1,0,0,0,0,1.1,4,2,2,0,0,0,3,27,0,0,0,,0,NO
2009-10,E. Ramos,36,0,0,,9.28,7,0,0,0,0,10.2,12,11,11,1,4,5,1.5,10.13,0.84,3.38,4.22,1.25,0,NO
2009-10,E. Serrano,31,0,1,0,3.24,10,0,0,0,0,8.1,6,5,3,1,7,8,1.56,6.48,1.08,7.56,8.64,1.1429,0,NO
2009-10,F. Rodríguez,27,0,0,,4.91,7,0,0,0,5,7.1,6,4,4,1,1,10,955,7.36,1.23,1.23,12.27,10,0,NO
2009-10,J. Colome,32,1,0,1,5.14,7,0,0,0,0,7,9,4,4,1,4,4,1857,11.57,1.29,5.14,5.14,1,0,NO
2009-10,J. Guerra,24,1,0,1,1.17,5,0,0,0,0,7.2,6,1,1,1,2,7,1043,7.04,1.17,2.35,8.22,3.5,0,NO
2009-10,J. Ortiz,19,0,0,,,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,0,NO
2009-10,J. Oviedo,21,0,0,,0,1,0,0,0,0,2,1,0,0,0,0,0,0.5,4.5,0,0,0,,0,NO
2009-10,J. Yépez,25,0,0,,5.4,3,0,0,0,0,1.2,1,1,1,0,1,1,1.2,5.4,0,5.4,5.4,1,0,NO
2009-10,R. Belisario,27,0,0,,12,3,0,0,0,0,3,4,4,4,0,1,2,1667,12,0,3,6,2,0,NO
2009-10,R. Giron,33,0,0,,0,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,6.75,,0,NO
2009-10,R. Medina,23,0,0,,1.42,4,0,0,0,0,6.1,5,1,1,0,6,4,1737,7.11,0,8.53,5.68,0.6667,0,NO
2009-10,R. Ramírez,27,1,1,0.5,3.63,4,4,0,0,0,22.1,20,10,9,1,5,17,1119,8.06,0.4,2.01,6.85,3.4,0,SI
2009-10,R. Rivero,23,1,3,0.25,9.56,4,4,0,0,0,16,26,18,17,0,6,9,2,14.62,0,3.38,5.06,1.5,1,SI
2009-10,V. Bonilla,31,0,1,0,5.4,2,0,0,0,0,1.2,1,1,1,0,2,1,1.8,5.4,0,10.8,5.4,0.5,0,NO
2009-10,V. Zambrano,34,0,2,0,4.8,4,4,0,0,0,15,21,13,8,1,5,10,1733,12.6,0.6,3,6,2,0,NO
2008-09,A. Herrera,29,0,2,0,9.72,7,2,0,0,0,8.1,12,11,9,3,4,5,1.92,12.96,3.24,4.32,5.4,1.25,0,SI
2008-09,A. Serrano,27,1,1,0.5,16.2,3,0,0,0,0,1.2,7,3,3,0,1,1,4.8,37.8,0,5.4,5.4,1,0,SI
2008-09,E. González,26,2,1,0.6667,3.38,4,4,0,0,0,24,16,10,9,2,3,11,792,6,0.75,1.12,4.12,3.6667,0,NO
2008-09,E. Ramos,35,1,1,0.5,3.95,8,0,0,0,0,13.2,11,7,6,2,6,4,1244,7.24,1.32,3.95,2.63,0.6667,0,NO
2008-09,F. Felix,25,0,0,,10.13,6,0,0,0,0,5.1,9,6,6,2,3,2,2.25,15.19,3.38,5.06,3.38,0.6667,0,NO
2008-09,F. Rodríguez,26,0,0,,0,6,0,0,0,6,7,3,0,0,0,3,8,857,3.86,0,3.86,10.29,2.6667,0,NO
2008-09,G. Casadiego,26,0,0,,36,2,0,0,0,0,1,5,4,4,2,1,0,6,45,18,9,0,0,0,NO
2008-09,G. Infante,21,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,0,1,9,0,0,0,,0,NO
2008-09,J. Lehr,31,0,1,0,4.82,2,2,0,0,0,9.1,7,5,5,0,5,6,1286,6.75,0,4.82,5.79,1.2,0,NO
2008-09,J. Ovalles,26,0,0,,0,2,0,0,0,0,1.1,1,0,0,0,0,3,0.75,6.75,0,0,20.25,,0,NO
2008-09,J. Pulido,37,0,0,,13.5,2,0,0,0,0,2,3,3,3,2,0,0,1.5,13.5,9,0,0,,0,NO
2008-09,K. Batista,27,0,0,,2.19,5,0,0,0,0,12.1,5,3,3,1,0,8,405,3.65,0.73,0,5.84,,0,NO
2008-09,O. Álvarez,28,0,0,,0,2,0,0,0,0,3,3,2,0,0,1,0,1333,9,0,3,0,0,0,NO
2008-09,P. Guerra,18,0,0,,3.86,3,0,0,0,0,2.1,2,1,1,0,2,4,1714,7.71,0,7.71,15.43,2,0,NO
2008-09,R. Belisario,26,1,0,1,3.86,9,0,0,0,0,9.1,10,4,4,1,4,2,1.5,9.64,0.96,3.86,1.93,0.5,0,NO
2008-09,S. Randolph,34,3,0,1,1.61,4,4,0,0,0,22.1,16,4,4,1,14,17,1343,6.45,0.4,5.64,6.85,1.2143,0,NO
