"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo","resultado"
"67","1985-86","L. Lunar","30","1","1","0.5000","2.79","2","1","0","","0","9.2","7","","3","","6","4","1.345","6.52","","5.59","3.72","0.6667","","NO","campeon"
"68","1985-86","A. Hernández","31","0","0","","5.40","1","1","0","","0","3.1","4","","2","","2","2","1.800","10.80","","5.40","5.40","1.0000","","NO","campeon"
"69","1985-86","W. Flores","23","0","0","","0.00","2","0","0","","1","5.0","3","","0","","0","2","0.600","5.40","","0.00","3.60","","","NO","campeon"
"70","1985-86","T. McCarthy","24","0","0","","5.40","1","0","0","","0","1.2","1","","1","","3","1","2.400","5.40","","16.20","5.40","0.3333","","NO","campeon"
"71","1985-86","L. Sánchez","32","1","0","1.0000","0.00","2","0","0","","0","2.1","2","","0","","2","0","1.714","7.71","","7.71","0.00","0.0000","","NO","campeon"
"72","1986-87","O. Jones","33","0","1","0.0000","1.12","1","1","1","","0","8.0","5","","1","","1","8","0.750","5.62","","1.12","9.00","8.0000","","NO","subcampeon"
"73","1986-87","J. Sellers","22","0","1","0.0000","6.75","1","1","0","","0","6.2","8","","5","","2","4","1.500","10.80","","2.70","5.40","2.0000","","NO","subcampeon"
"74","1986-87","C. McMurtry","27","0","1","0.0000","2.57","1","1","0","","0","7.0","9","","2","","1","4","1.429","11.57","","1.29","5.14","4.0000","","NO","subcampeon"
"75","1986-87","A. Hernández","32","0","1","0.0000","1.50","1","1","0","","0","6.0","4","","1","","2","2","1.000","6.00","","3.00","3.00","1.0000","","NO","subcampeon"
"76","1986-87","M. Henneman","25","0","0","","0.00","2","0","0","","0","3.1","1","","0","","2","2","0.900","2.70","","5.40","5.40","1.0000","","NO","subcampeon"
"77","2011-12","T. Brummett","27","1","0","1.0000","0.00","1","1","0","0","0","7.0","5","0","0","0","1","6","0.857","6.43","0.00","1.29","7.71","6.0000","0","NO","subcampeon"
"78","2011-12","L. Walrond","35","0","2","0.0000","3.60","2","2","0","0","0","10.0","15","4","4","1","2","5","1.700","13.50","0.90","1.80","4.50","2.5000","0","NO","subcampeon"
"79","2011-12","M. Klinker","27","0","1","0.0000","3.38","2","2","0","0","0","8.0","10","3","3","0","4","3","1.750","11.25","0.00","4.50","3.38","0.7500","0","SI","subcampeon"
"80","2011-12","B. Sweeney","37","0","0","","3.60","1","1","0","0","0","5.0","7","2","2","1","1","2","1.600","12.60","1.80","1.80","3.60","2.0000","0","SI","subcampeon"
"81","2011-12","P. Rodríguez","24","0","0","","1.93","3","0","0","0","0","4.2","5","5","1","1","2","2","1.500","9.64","1.93","3.86","3.86","1.0000","0","SI","subcampeon"
"82","2011-12","S. Nin","31","0","0","","3.38","4","0","0","0","0","2.2","7","1","1","0","2","2","3.375","23.63","0.00","6.75","6.75","1.0000","0","NO","subcampeon"
"83","2011-12","J. Guerra","26","0","0","","0.00","1","0","0","0","0","1.0","1","0","0","0","1","1","2.000","9.00","0.00","9.00","9.00","1.0000","0","NO","subcampeon"
"84","2011-12","A. Morales","22","0","0","","0.00","1","0","0","0","0","1.0","1","0","0","0","0","1","1.000","9.00","0.00","0.00","9.00","","0","NO","subcampeon"
"85","2011-12","E. González","29","0","0","","0.00","2","0","0","0","0","2.0","0","0","0","0","1","1","0.500","0.00","0.00","4.50","4.50","1.0000","0","NO","subcampeon"
"86","2011-12","F. Rodríguez","29","0","0","","9.00","1","0","0","0","1","1.0","1","1","1","1","1","1","2.000","9.00","9.00","9.00","9.00","1.0000","0","NO","subcampeon"
"87","2011-12","G. Infante","24","0","0","","4.50","2","0","0","0","0","2.0","2","1","1","0","1","1","1.500","9.00","0.00","4.50","4.50","1.0000","0","NO","subcampeon"
"88","2011-12","A. Bastardo","27","0","0","","0.00","3","0","0","0","0","1.2","0","0","0","0","1","1","0.600","0.00","0.00","5.40","5.40","1.0000","0","NO","subcampeon"
"89","2011-12","A. Ortega","26","0","0","","4.50","1","0","0","0","0","2.0","1","1","1","1","0","0","0.500","4.50","4.50","0.00","0.00","","0","NO","subcampeon"
"90","2011-12","J. Hunton","29","1","1","0.5000","4.50","3","0","0","0","0","4.0","4","2","2","0","1","0","1.250","9.00","0.00","2.25","0.00","0.0000","0","SI","subcampeon"
